,rpsL
Cr_1,0.0027972273809388397
Cr_2,0.0064631803741913825
Cr_3,0.009230307623556115
Cr_4,0.01271983671184099
Cr_5,0.012803053093538798
Cr_6,0.011772440459199512
Fe_1,-0.002632751941124296
Fe_2,-0.006661648733520206
Fe_3,-0.010279070790817971
Fe_4,-0.015942420168312953
Fe_5,-0.018332120233743168
Fe_6,-0.02463017195883092
Cd_1,0.00302225690641757
Cd_2,0.00441561511559974
Cd_3,0.004531465943944478
Cd_4,0.0059165891922730186
Cd_5,0.004705312535373554
Cd_6,0.003999476794651653
Zn_1,-0.027192094563237342
Zn_2,-0.05082605210425332
Zn_3,-0.06516188972592751
Zn_4,-0.07605985491294757
Zn_5,-0.08605470371312762
Zn_6,-0.09419528086131287
Cu_1,0.003356868610063293
Cu_2,0.011388928675397815
Cu_3,0.01465747870519731
Cu_4,0.014476104581576029
Cu_5,0.014521566922385909
Cu_6,0.012832871995997868
Pb_1,-0.031753644929915815
Pb_2,-0.01911221363579589
Pb_3,-0.006970593270766385
Pb_4,-0.017541560745535
Pb_5,-0.002847541381008863
Pb_6,0.028135690935181864
