,A,FadR
R2,,0.07992487091283995
xmin,,-7.086732076
xmid,,
xmax,,1.222542875
ystart,,-10.15287230850528
yend,,3.7410430690180267
control__wt_glc__1,-0.15805479860000002,0.031399424
control__wt_glc__2,0.15805479860000002,-0.031399424
fur__wt_dpd__1,-2.7837422234,-0.600264578
fur__wt_dpd__2,-3.0660827548,-0.517360828
fur__wt_fe__1,-0.4702178852,-0.390645599
fur__wt_fe__2,-0.2296206865,-0.5121647260000001
fur__delfur_dpd__1,-2.0870194326,-0.47011754800000005
fur__delfur_dpd__2,-1.8077737884,-0.29699511
fur__delfur_fe2__1,-0.1660950561,-0.519933862
fur__delfur_fe2__2,-0.2550257681,-0.417306858
acid__wt_ph5__1,-0.21174033120000002,-0.344134235
acid__wt_ph5__2,-0.1437334605,-0.310642405
acid__delgadx_ph5__2,0.19688425750000002,-0.211986992
acid__delgadw_ph5__1,-0.6820058710000001,-0.42109210700000005
acid__delgadw_ph5__2,0.11493757110000001,-0.347202779
acid__delgade_ph5__1,-0.3599132077,-0.33193727100000003
acid__delgade_ph5__2,-0.3517800038,-0.20538521
oxidative__wt_pq__1,-6.3886375292,-0.909385639
oxidative__wt_pq__2,-6.4071972794,-0.7182007460000001
oxidative__deloxyr_pq__1,-4.6412256619,-0.15568521200000002
oxidative__deloxyr_pq__2,-4.5268254196,-0.24634806
oxidative__delsoxr_pq__1,-5.1646313559,-0.46976018700000005
oxidative__delsoxr_pq__2,-5.6222612924,-0.569442627
oxidative__delsoxs_pq__1,-5.8741644944,-0.592701488
oxidative__delsoxs_pq__2,-5.7697383007,-0.656203127
nac_ntrc__wt_csn__1,-2.2783532544,-0.30813643300000004
nac_ntrc__wt_csn__2,-2.3942272977,-0.286272741
nac_ntrc__wt_cytd__1,-0.8925892628000001,-0.283918229
nac_ntrc__wt_cytd__2,-0.8536546272000001,-0.210687805
nac_ntrc__wt_gln__1,-1.3919781634000001,-0.54686959
nac_ntrc__wt_gln__2,-0.7491044287,-0.574054001
nac_ntrc__bw_delnac_csn__1,-1.0728033619,-0.262575508
nac_ntrc__bw_delnac_csn__2,-0.1609149558,-0.275976459
nac_ntrc__bw_delnac_cytd__1,0.0977583156,-0.224659197
nac_ntrc__bw_delnac_cytd__2,0.0215796359,-0.372342202
nac_ntrc__bw_delnac_gln__1,-0.4294943714,-0.23195188600000002
nac_ntrc__bw_delnac_gln__2,-0.6252374528,-0.407251146
nac_ntrc__bw_delnac_nh4__1,0.7250600953,-0.132163537
nac_ntrc__bw_delnac_nh4__2,0.9043525041,0.075955197
misc__wt_no_te__1,-0.3491639729,-0.402621502
misc__wt_no_te__2,0.0368380659,-0.30127135
misc__bw_delcbl__1,-3.281832781,-0.24060297300000003
misc__bw_delcbl__2,-3.352369384,-0.232919759
misc__bw_delfabr__1,-0.7465731786,-0.31438571600000004
misc__bw_delfabr__2,-0.688231567,-0.305215715
misc__bw_delfadr__1,-16.0821125485,-7.086732076
misc__bw_delfadr__2,-15.3849175092,-6.785719397
misc__nitr_031__1,-2.3225107771,-0.393852368
omics__wt_glu__1,-1.1876285128,-0.2130426
omics__wt_glu__2,-1.3062244226,-0.312930572
omics__wt_gly__1,-1.4931839082,-0.588875292
omics__wt_gly__2,-0.8075905621,-0.5968979440000001
omics__wt_thr__1,-2.2824569733,-0.206879428
omics__wt_thr__2,-1.3894875236,-0.14021335000000001
omics__bw_ac__1,-6.7617485317,0.6530147980000001
omics__bw_ac__2,-5.8560594449,0.5858307810000001
omics__bw_fum__1,-2.1021874327,0.406261743
omics__bw_fum__2,-1.7076860224,0.348437539
omics__bw_glc__1,0.7173565593,0.299970148
omics__bw_glc__2,0.7879071542,0.206776871
omics__bw_pyr__1,-3.8103092083,0.6233331980000001
omics__bw_pyr__2,-2.9100539655,0.732995919
ompr__wt_nacl__1,-4.6442938952,-1.361058503
ompr__wt_nacl__2,-5.0919936253,-1.516446765
ompr__bw_delompr_nacl__1,-5.0108145902,-1.895121252
ompr__bw_delompr_nacl__2,-4.6446106841,-1.820458378
minspan__wt_ade__1,3.7188684411,0.240033197
minspan__wt_glc__2,2.0042411101,-0.217800816
minspan__wt_glc__3,2.195503058,-0.149645241
minspan__wt_glc__4,2.9081381903,0.140784729
minspan__wt_glc_anaero__1,5.7035491314,-0.02333793
minspan__wt_glc_anaero__2,4.9805325712,0.096067408
minspan__wt_trp__1,4.912118346,0.133449003
minspan__bw_delcra_glc__2,4.8574296828,0.268414143
minspan__bw_delcra_trp__1,6.1550107695,0.281323182
minspan__bw_delmntr__1,3.9479134452,0.298559501
minspan__bw_delnac_ade__1,2.3460079285,0.6432118290000001
minspan__bw_delnac_glc__1,-0.20848959050000002,0.007782232000000001
cra_crp__wt_ac__1,-7.0408089202,-0.019020163
cra_crp__wt_ac__2,-7.1974402192,-0.13925304400000002
cra_crp__wt_fru__1,-4.2130611501,-0.323861593
cra_crp__wt_fru__2,-4.129990211,-0.40735770600000004
cra_crp__delcra_ac__1,-3.649420632,0.095401862
cra_crp__delcra_ac__2,-3.5890263804,0.192023473
cra_crp__delcra_fru__1,1.6190479501000001,-0.43054641
cra_crp__delcra_fru__2,1.3398378828,-0.214133966
cra_crp__delcra_glc__1,0.7157471997,-0.363846487
cra_crp__delcra_glc__2,1.5110153085,-0.41632268
rpoB__wt_031__1,-5.2787368464,0.481690575
rpoB__wt_044__1,-1.3854315698000002,0.077017286
