,-0.2647569936,-0.23166236939999998,-0.19856774519999998,-0.16547312099999997,-0.13237849679999997,-0.09928387259999996,-0.06618924839999996,-0.03309462419999995,5.551115123125783e-17,0.03309462420000003,0.06618924840000007,0.0992838726000001,0.13237849680000008,0.16547312100000006,0.1985677452000001,0.23166236940000012,0.2647569936000001,0.2978516178000001,0.33094624200000006,0.36404086620000015
thresh,-0.0827365605,0.0827365605,2,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,0,2,9,207,3746,212,11,2,0,0,0,0,0,0,0,0
FadR,2,1,1,3,0,0,1,0,9,1,2,0,1,0,0,0,0,1,0,0
unreg_genes,[],[],[],[],[],['ynfN' 'fabR'],[],[],[],[],[],['ymgF' 'borD'],[],[],[],[],[],[],[],[]
FadR_genes,['fadE' 'fadB'],['fadA'],['fadI'],['fadJ' 'fadM' 'fadH'],[],[],['fadD'],[],['fadL' 'accB' 'accC' 'accD' 'uspA' 'fabI' 'fabH' 'fabD' 'fabG'],['accA'],['fabB' 'iclR'],[],['fabA'],[],[],[],[],['fadR'],[],[]
