,BSU18960
M9exp_1,9.3073
M9exp_2,9.1972
M9exp_3,8.4487
M9tran_1,9.5006
M9tran_2,9.5732
M9tran_3,9.5531
M9stat_1,10.327
M9stat_2,10.0644
M9stat_3,9.7753
MG-0.1_1,8.9672
MG-0.1_2,7.7532
MG-0.1_3,8.7997
MG-0.2_2,8.1646
MG-0.2_3,8.7209
MG+5_1,9.0117
MG+5_2,8.2002
MG+5_3,8.8991
MG+10_1,9.1128
MG+10_2,8.6226
MG+10_3,8.2988
MG+15_1,8.5159
MG+15_2,9.3411
MG+15_3,8.6873
MG+25_1,8.6255
MG+25_2,8.4306
MG+25_3,8.5333
MG+45_1,8.5168
MG+45_2,7.6935
MG+45_3,8.2106
MG+60_2,8.0601
MG+60_3,8.125
MG+90_2,7.9246
MG+90_3,8.4025
MG+120_1,8.3705
MG+120_2,9.5398
MG+120_3,9.1103
MG+150_1,9.2945
MG+150_3,9.2909
GM-0.1_1,9.4394
GM-0.1_2,8.9542
GM-0.1_3,9.552
GM-0.2_1,9.3845
GM-0.2_2,9.3373
GM-0.2_3,9.2708
GM+5_1,9.2538
GM+5_2,8.6657
GM+5_3,9.2604
GM+10_2,8.6509
GM+10_3,8.274
GM+15_1,9.4931
GM+15_2,8.9041
GM+15_3,9.2705
GM+25_1,9.4183
GM+25_2,8.83
GM+25_3,8.7436
GM+45_1,9.4832
GM+45_2,7.6221
GM+45_3,8.2711
GM+60_1,9.1352
GM+60_2,7.9803
GM+60_3,8.532
GM+90_1,9.0321
GM+90_2,8.9485
GM+90_3,9.006
GM+120_1,8.3333
GM+120_3,9.0747
GM+150_1,9.3004
GM+150_2,9.4169
GM+150_3,9.0364
BT_1,11.2255
BT_2,10.9915
B36_1,10.7134
B36_2,10.4293
B60_1,11.1233
B60_2,10.7675
S0_1,9.5225
S0_2,9.315
S0_3,9.2767
S1_1,10.2812
S1_2,9.9834
S1_3,10.5443
S2_1,11.2613
S2_2,11.3672
S2_3,11.015
S3_1,10.9039
S3_2,11.0355
S4_1,10.7873
S4_2,10.5013
S4_3,10.6075
S5_1,9.7678
S5_2,9.9759
S5_3,10.4178
S6_1,9.3894
S6_2,8.2006
S6_3,9.2205
S6/t_1,9.3813
S6/t_2,7.8226
S6_4,9.0406
S6_5,9.728
S6_6,9.5181
S7_4,9.9984
S7_5,9.7776
S7_6,10.1523
S8_4,9.5607
S8_5,9.8914
G135_1,8.1202
G135_3,7.6693
G150_1,7.7264
G150_2,7.0819
G150_3,7.9099
G180_1,7.4607
G180_2,7.0061
G180_3,7.1398
T-5.40H_1,10.3616
T-4.40H_1,10.1107
T-3.40H_1,10.2193
T-2.40H_1,9.7256
T-1.40H_1,9.8679
T-1.10H_1,9.8732
T-0.40H_1,9.709
T0.0H_1,9.5904
T0.30H_1,9.4896
T1.0H_1,9.7577
T1.30H_1,10.1306
T2.0H_1,10.2746
T2.30H_1,11.1342
T3.0H_1,10.7111
T3.30H_1,10.8186
T4.0H_1,10.8465
T5.0H_1,10.1698
LBexp_1,7.3631
LBexp_2,7.7814
LBexp_3,7.849
LBtran_1,9.0381
LBtran_2,8.5517
LBtran_3,8.3841
LBstat_1,10.7521
LBstat_2,10.7826
LBstat_3,10.5318
LBGexp_1,7.1076
LBGexp_2,7.2072
LBGexp_3,7.2879
LBGtran_2,8.0436
LBGtran_3,7.9642
LBGstat_1,7.6429
LBGstat_2,7.6035
LBGstat_3,8.1741
Mt0_1,7.6223
Mt0_3,6.9886
M0t45_1,8.0128
M0t45_2,7.9061
M0t45_3,8.2201
M0t90_1,8.9822
M0t90_2,10.1731
M0t90_3,9.4574
M40t45_1,7.9886
M40t45_2,8.7049
M40t45_3,8.1243
M40t90_1,8.5531
M40t90_2,9.3743
M40t90_3,9.1689
dia0_1,7.4688
dia0_2,7.7597
dia0_3,7.4902
dia5_1,7.3838
dia5_2,7.4474
dia5_3,7.09
dia15_1,7.3758
dia15_2,7.306
dia15_3,7.3921
C30_1,9.8635
C30_2,9.5809
C90_1,9.2032
C90_2,8.1416
SMM_1,9.1463
SMM_2,9.1661
SMM_3,9.1735
Salt_1,8.5485
Salt_2,8.3639
Salt_3,8.2901
M+G_1,9.7711
M+G_2,8.7615
M+G_3,8.9141
Glu_1,9.4956
Glu_2,9.0301
Glu_3,9.2646
Fru_1,9.1296
Fru_2,9.7137
Fru_3,8.897
Mal_1,8.9257
Mal_2,9.0362
Mal_3,9.0458
G+S_2,11.1395
G+S_3,10.9429
Pyr_1,9.8743
Pyr_2,10.3716
Pyr_3,10.3465
Gly_1,9.1964
Gly_2,9.8753
Gly_3,8.8775
Glucon_1,9.6491
Glucon_2,9.5314
Glucon_3,8.8809
BI_1,9.5142
BI_2,9.7441
BC_2,11.0176
BC/t_1,10.7855
BC/t_2,11.0874
BC_1,10.6836
Sw_1,9.1497
Sw_2,9.3878
