,dinJ
Cr_1,-0.0018196352879649184
Cr_2,-0.0017391138551104805
Cr_3,-0.0003162729623437528
Cr_4,0.0002082877107055721
Cr_5,0.002736561058920591
Cr_6,0.004099458006017823
Fe_1,-0.012140419706273371
Fe_2,-0.0204023639252772
Fe_3,-0.02940215468631182
Fe_4,-0.0431697728635762
Fe_5,-0.053057280598836236
Fe_6,-0.05621246960902837
Cd_1,0.001871202564051962
Cd_2,0.0055671302045572964
Cd_3,0.007787661772335562
Cd_4,0.009302225095353556
Cd_5,0.0077456620900383044
Cd_6,0.011332768841736628
Zn_1,-0.002240616603219849
Zn_2,-7.352771292409833e-05
Zn_3,0.011714682357026076
Zn_4,0.02928286703524682
Zn_5,0.051298016675333735
Zn_6,0.07182526129968288
Cu_1,0.00030598171904125875
Cu_2,-0.0005666831200729006
Cu_3,0.0020032236688179625
Cu_4,0.005447821906330743
Cu_5,0.00777769384633528
Cu_6,0.012380782944558666
Pb_1,0.002786355996416181
Pb_2,0.007427448518872173
Pb_3,0.005674489279539618
Pb_4,0.007463105079286891
Pb_5,0.009440369335812895
Pb_6,0.019005567832469008
