locus,gene_weight,gene_name,gene_product,COG,operon,regulator,link
new_3014345_3014422_c,0.17907841200000002,S1118,5'UTR of argG,No COG category,,"AhrC,YlxR",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3014345_3014422_c
new_2014633_2014704_c,0.130140168,S683,5'UTR of gltA,No COG category,,"SigA,TnrA,GltC,Fur",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2014633_2014704_c
new_3790498_3790582_c,0.11461839600000001,S1428,intergenic region,No COG category,,TnrA,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3790498_3790582_c
BSU_24900,0.102172285,rpmGA,ribosomal protein L33a,"Translation, ribosomal structure and biogenesis","rpmGA, yqgL->rpmGA",,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU24900
new_3046584_3046684_c,0.10139606300000001,S1141,5'UTR of aroA,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3046584_3046684_c
new_2549607_2549677_c,0.100364351,S922,5' of BSU_misc_RNA_38,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2549607_2549677_c
new_2879205_2879294_c,0.100054997,S1063,5'UTR of hemA,No COG category,,"PerR,SigA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2879205_2879294_c
new_2600050_2600154,0.090158559,S950,5' of S950,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2600050_2600154
new_1264932_1265017_c,0.086807678,S432,5'UTR of yjcM,No COG category,,"SigD,AbrB",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1264932_1265017_c
new_3646613_3646699,0.08654199200000001,S1357,5'UTR of yvyE,No COG category,,Spo0A,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3646613_3646699
new_121686_121918,0.07924449800000001,S51,5'UTR of rpoB,No COG category,,"SigA,stringent response",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_121686_121918
new_3861223_3861307_c,0.078813772,S1457,5'UTR of ywzC,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3861223_3861307_c
new_9529_9614,0.07571124800000001,S7,5' of rrnO-16S,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_9529_9614
new_2208781_2208854_c,0.075568932,S786,3'UTR of yopL,No COG category,,CcpA,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2208781_2208854_c
new_18976_19061,0.075497768,S12,5'UTR of pdxS,No COG category,,Spo0A,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_18976_19061
new_1430625_1430683,0.073979737,S490,5'UTR of spo0E,No COG category,,"Rok,SigA,SigB,AbrB",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1430625_1430683
new_3989098_3989183,0.073253021,S1492,5'UTR of yxkC,No COG category,,"SigD,TnrA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3989098_3989183
new_1517792_1517864,0.071975282,S525,5'UTR of abh,No COG category,,"SigM,SigV,SigX",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1517792_1517864
new_1398413_1398495,0.07070422,S476,5'UTR of ykoM,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1398413_1398495
new_3582691_3582779_c,0.06959555,S1330,5'UTR of yvcA,No COG category,,"DegU,AbrB",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3582691_3582779_c
new_3918519_3918628_c,0.069446638,S1473,5'UTR of qoxA,No COG category,,"CitB,stringent response",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3918519_3918628_c
new_1719657_1719801,0.06837057,S588,intergenic region,No COG category,,stringent response,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1719657_1719801
new_4172910_4173113,0.06573119,S1564,5'UTR of yybN,No COG category,,"Rok,DnaA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_4172910_4173113
BSU_40600,0.064432742,yybL,[SW|ABC transporter ](permease),No COG category,yybN->yybJ,"Rok,DnaA",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU40600
new_2306333_2306513,0.063749123,S826,5'UTR of ugtP,No COG category,,SigM,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2306333_2306513
new_1997958_1998066_c,0.062205688,S679,5'UTR of ppsA,No COG category,,AbrB,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1997958_1998066_c
new_1211372_1211476,0.061230364,S403,5'UTR of appD,No COG category,,"TnrA,CodY,ScoC",http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1211372_1211476
new_1925453_1925538_c,0.060548307,S664,5'UTR of yneK,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1925453_1925538_c
new_204977_205210,0.06018010100000001,S72,independent transcript,No COG category,,,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_204977_205210
new_352793_352857,-0.070789795,S119,5'UTR of ycgT,No COG category,,Fur,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_352793_352857
