,nagA
Cr_1,0.003730335497725551
Cr_2,0.011193166485653612
Cr_3,0.015544876332058822
Cr_4,0.018557625758551702
Cr_5,0.019281884971175688
Cr_6,0.016078652047698767
Fe_1,-0.014261633312783874
Fe_2,-0.022263374942901686
Fe_3,-0.03213293644123336
Fe_4,-0.03952113259672743
Fe_5,-0.04099412496268437
Fe_6,-0.035776283645892464
Cd_1,-0.02318950392413632
Cd_2,-0.03265349038152994
Cd_3,-0.017310918531365238
Cd_4,0.002036026620760644
Cd_5,0.017845655933231473
Cd_6,0.030684846719193092
Zn_1,-0.0014271444452446734
Zn_2,-0.006273532955725611
Zn_3,-0.0041023001378242335
Zn_4,0.0035495515147103227
Zn_5,0.009217641953361269
Zn_6,0.016529659811084292
Cu_1,-0.0003234111315183661
Cu_2,0.006775324890388682
Cu_3,0.013980667864522279
Cu_4,0.02086102305946621
Cu_5,0.026229914692875958
Cu_6,0.029289759312343167
Pb_1,0.017618927132198696
Pb_2,0.032815357247942066
Pb_3,0.0428945241055861
Pb_4,0.0542062246578101
Pb_5,0.061209879307212764
Pb_6,0.07124501171322914
