,A,SigB
R2,,0.6737286970048597
xmin,,9.7276
xmid,,12.878825340768739
xmax,,16.1633
ystart,,-9.687397301070291
yend,,43.98760704475376
LBexp_1,-23.0070328964,12.4106
LBexp_2,-21.1059360985,12.364
LBexp_3,-19.1346498721,12.2772
LBtran_1,-6.8623636892,12.7342
LBtran_2,-12.5504884346,12.9314
LBtran_3,-13.408428732,12.9969
LBstat_1,-11.8357711432,12.0424
LBstat_2,-9.3766153892,12.1336
LBstat_3,-6.009080656,11.874
LBGexp_1,-22.2076958373,12.325
LBGexp_2,-21.3067945227,11.8148
LBGexp_3,-22.2289707332,12.2271
LBGtran_2,3.0475609671,13.4333
LBGtran_3,-14.0068240273,12.3669
LBGstat_1,-13.6359004578,10.8179
LBGstat_2,-12.9729970585,10.6935
LBGstat_3,-10.1221590574,11.0758
S0_1,3.5247501568,13.892
S0_2,1.1408027764,13.4982
S0_3,3.7839348843,13.7071
S1_1,-19.8149972701,12.6646
S1_2,-18.6060518217,12.5285
S1_3,-19.6714394189,12.8984
S2_1,-10.2579003047,12.3596
S2_2,-9.2590601951,12.2826
S2_3,-6.3923411812,12.3289
S3_1,-8.7298372273,11.8293
S3_2,-9.7758990955,11.8747
S4_1,-5.6999590155,11.5994
S4_2,-3.6038761974,11.6815
S4_3,-2.3671059106,11.216
S5_1,-4.3790233523,11.0484
S5_2,-3.4413708407,11.5622
S5_3,-4.0815584694,11.4943
S6_1,-2.043294513,10.7619
S6_2,9.7229848149,10.3038
S6_3,-2.6321224129000003,11.1371
S6/t_1,-1.4505561493,10.4833
S6/t_2,8.7390865601,9.7276
S6_4,-0.8109467204,10.6216
S6_5,-1.569175273,11.2314
S6_6,-2.022225939,11.2573
S7_4,-1.2870382787,10.923
S7_5,-0.8220771555,10.6785
S7_6,-2.0075010301,10.9202
S8_4,-0.7993405528,10.5108
S8_5,4.1757934418,10.1081
G135_1,-18.7696902166,12.7013
G135_3,-11.5570119674,10.7602
G150_1,-18.327030382,12.2028
G150_2,-22.458325709,12.8845
G150_3,-18.4203824564,12.6936
G180_1,-18.7567418894,12.2062
G180_2,-22.0102706052,12.6073
G180_3,-17.2819309536,11.5019
C30_1,-7.2553395911,11.565
C30_2,-8.6261398755,11.5627
C90_1,-14.088958036,11.5448
C90_2,-18.3074829351,11.8697
BI_1,-5.4617354089,13.2865
BI_2,0.8426883145,13.9992
BC_2,23.610435957900002,15.3452
BC/t_1,17.2980656815,14.249
BC/t_2,20.5637162674,15.204
BC_1,17.3015371211,14.1258
Sw_1,35.3620203922,15.9197
Sw_2,36.4819024553,16.0643
BT_1,7.576537944,12.7579
BT_2,7.6919568458,12.0889
B36_1,22.7261191713,15.232
B36_2,19.8201847339,14.8227
B60_1,20.6401520137,14.8699
B60_2,24.3211021009,15.113
M9exp_1,8.3882912195,14.1592
M9exp_2,7.8121237115,13.8235
M9exp_3,-16.200414931,12.1887
M9tran_1,-14.9227598461,12.1568
M9tran_2,-14.0988765047,12.1464
M9tran_3,-0.2200652019,13.2958
M9stat_1,13.1369263353,11.6147
M9stat_2,30.2680933508,13.2315
M9stat_3,29.0203060525,13.3761
M+G_1,-10.3528350393,12.2441
M+G_2,-13.3188061766,12.3017
M+G_3,-7.5776033589,12.4308
Glu_1,-8.6220002541,12.6852
Glu_2,5.0762925645,14.0893
Glu_3,-9.3195083992,12.9415
Fru_1,3.5166333337999998,13.5671
Fru_2,-19.1015106023,12.803
Fru_3,-17.2238418163,11.9105
Mal_1,2.5358489283,13.0966
Mal_2,-5.1660121254,12.4257
Mal_3,8.3790434656,13.8543
G+S_2,-10.5791412602,11.7912
G+S_3,-12.7714861594,12.0261
Pyr_1,-0.9046691099,12.423
Pyr_2,-8.5124436989,12.1519
Pyr_3,-7.9896351854,11.9466
Gly_1,27.7062356639,13.8565
Gly_2,27.3174951929,14.5787
Gly_3,25.8828238079,13.7709
Glucon_1,-3.712802258,12.2166
