,-0.1547978916666667,-0.136586375,-0.11837485833333333,-0.10016334166666666,-0.08195182499999998,-0.0637403083333333,-0.045528791666666624,-0.027317274999999946,-0.00910575833333327,0.009105758333333408,0.027317275000000085,0.04552879166666676,0.06374030833333344,0.08195182500000012,0.1001633416666668,0.1183748583333335,0.13658637500000015,0.1547978916666668,0.1730094083333335,0.1912209250000002
thresh,-0.054634550000000004,0.054634550000000004,2,,,,,,,,,,,,,,,,,
unreg,1,0,2,3,3,11,37,186,2462,2666,180,10,2,0,2,0,0,4,0,0
RoxR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
unreg_genes,['PA2381'],[],['cioA' 'PA1123'],['PA3928' 'PA1550' 'cioB'],['PA1551' 'PA1549' 'PA4131'],"['PA3785' 'PA1852' 'PA0541' 'PA3791' 'ccmB' 'PA3784' 'PA4863' 'PA3786'
 'PA4866' 'ccmG' 'PA0713']",[],[],[],[],[],[],['PA2429' 'PA3499'],[],['PA0112' 'PA0113'],[],[],['PA0111' 'PA0107' 'PA0110' 'PA1190'],[],[]
RoxR_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['coIII'],['coxA' 'coxB'],[],[],[]
