,rhlB
Cr_1,0.002375729621382933
Cr_2,-0.0018197346363305886
Cr_3,0.0006358383390051847
Cr_4,0.0065487240263840795
Cr_5,-0.002978281451213688
Cr_6,-0.013462789927073945
Fe_1,-0.009027493305937988
Fe_2,-0.0265936208394281
Fe_3,-0.039312655088602086
Fe_4,-0.061359061452678665
Fe_5,-0.09415716775702684
Fe_6,-0.12566380327886129
Cd_1,-0.004989962798614561
Cd_2,-0.004909516568110118
Cd_3,0.007666095337467955
Cd_4,0.012867774486318215
Cd_5,0.009892574514730449
Cd_6,0.019934926376057944
Zn_1,-0.011001658716999207
Zn_2,-0.006810496170937588
Zn_3,0.012044360301350934
Zn_4,0.0308467232819684
Zn_5,0.02091836429601604
Zn_6,0.0015069156719153631
Cu_1,0.006607474792965723
Cu_2,0.021925393861733256
Cu_3,0.03482306997128505
Cu_4,0.05188926301403804
Cu_5,0.06650266959002603
Cu_6,0.08065214298311058
Pb_1,-0.0021273829525721146
Pb_2,-0.008588070039939043
Pb_3,-0.012251414516602343
Pb_4,-0.004441926533289479
Pb_5,0.0019331190869746368
Pb_6,0.002525573527582957
