,ybcL
Cr_1,-0.012720341739288852
Cr_2,-0.01244821570677315
Cr_3,-0.0059500635388160675
Cr_4,0.010170574598763756
Cr_5,0.018162352988007332
Cr_6,0.02323152734826255
Fe_1,-0.056939647341121426
Fe_2,-0.1351514094210438
Fe_3,-0.1991132780581433
Fe_4,-0.19599093335871334
Fe_5,-0.2208054201862509
Fe_6,-0.22651272047218896
Cd_1,-0.007844551367257568
Cd_2,-0.01721949183671396
Cd_3,-0.026409802792922085
Cd_4,-0.029531344563999418
Cd_5,-0.03565185303859752
Cd_6,-0.027449514926103973
Zn_1,0.06997648921834786
Zn_2,0.11687399205979895
Zn_3,0.17166949526917016
Zn_4,-0.05555632890987
Zn_5,-0.005725538297114425
Zn_6,-0.02705335764488621
Cu_1,0.018384163526145098
Cu_2,0.02676534477146187
Cu_3,0.03631144348570038
Cu_4,0.049332801034703326
Cu_5,0.06117307794636107
Cu_6,0.07336707942880709
Pb_1,-0.002437215235738574
Pb_2,0.017891718897583134
Pb_3,0.030375099407893562
Pb_4,0.04557322020094156
Pb_5,0.07026918362526259
Pb_6,0.06812225412969139
