,-0.06613817266083516,-0.04960362949562637,-0.03306908633041758,-0.01653454316520879,0.0,0.01653454316520879,0.03306908633041758,0.04960362949562637,0.06613817266083516,0.08267271582604396,0.09920725899125274,0.11574180215646152,0.13227634532167032,0.14881088848687912,0.1653454316520879,0.18187997481729667,0.19841451798250548,0.21494906114771428,0.23148360431292309,0.24801814747813183
thresh,-0.07440544424343956,0.07440544424343956,3,,,,,,,,,,,,,,,,,
unreg,1,4,91,1005,3477,865,97,14,5,2,1,0,0,0,0,0,0,0,0,0
GlcC,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
AmiR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],['PA2916' 'rbsA'],['rbsB'],[],[],[],[],[],[],[],[],[]
GlcC_genes,[],[],[],[],['glcC'],[],['PA5352'],[],['glcD'],['glcE' 'glcF'],[],[],[],[],[],[],[],[],[],[]
AmiR_genes,[],[],[],[],[],[],[],[],[],[],[],[],['PA3362'],[],['amiE'],['amiC'],['amiR'],['PA3365'],[],[]
