,0
gene_id,STM2164
name,yehY
operon,<i>Not Available</i>
gene_product,putative ABC-type proline/glycine betaine transport system%2C permease component
cog,Inorganic ion transport and metabolism
regulator,"rpoH,rpoS"
link,"<a href=""https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2164"">BioCyc</a>"
