,hcaR
Cr_1,-0.0007946240693421138
Cr_2,0.0024674156193328976
Cr_3,0.008604371508563885
Cr_4,0.012017480099725293
Cr_5,0.0156930901002684
Cr_6,0.019544092724451383
Fe_1,0.00289836975995446
Fe_2,-0.010056044100364682
Fe_3,-0.029202187224760562
Fe_4,-0.05387843141387789
Fe_5,-0.07407232586240116
Fe_6,-0.09003752238917619
Cd_1,0.00903130081778144
Cd_2,0.01948211592557476
Cd_3,0.029849849298389068
Cd_4,0.03977962902626105
Cd_5,0.05132206752351489
Cd_6,0.06746484489803735
Zn_1,-0.007420372927465342
Zn_2,-0.01226709975442163
Zn_3,-0.015783089670904558
Zn_4,-0.008939225622845463
Zn_5,0.0008538235628731287
Zn_6,0.008501370010967327
Cu_1,0.004420856570821492
Cu_2,0.01822286117766887
Cu_3,0.029803341858710024
Cu_4,0.036665702019685616
Cu_5,0.04825124179640259
Cu_6,0.057935427135271625
Pb_1,0.01684099800327233
Pb_2,0.032418846139647566
Pb_3,0.05171592128126628
Pb_4,0.07103550739467789
Pb_5,0.08390378736314777
Pb_6,0.10073223333380747
