gene_id,USA300HOU_RS03395
name,mnhd2
operon,"mnha2,mnhb2,mnhc2,mnhd2,mnhe2,mnhf2,mnhg2"
product,cation:proton antiporter
cog,Inorganic ion transport and metabolism
regulator(s),
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN002497000"">AureoWiki</a>"
