,yejH
Cr_1,0.003381318543500755
Cr_2,0.005180805373518372
Cr_3,0.005648106310339658
Cr_4,0.010575526994429098
Cr_5,0.013994140252305049
Cr_6,0.018979832264650987
Fe_1,-0.0018949575812402218
Fe_2,0.010733728723960305
Fe_3,0.022961628563586373
Fe_4,0.029318378924147525
Fe_5,0.043906822028816704
Fe_6,0.07487874058198042
Cd_1,0.009145176365666065
Cd_2,0.021140859183231442
Cd_3,0.034631840972114386
Cd_4,0.041510787481373
Cd_5,0.0362519902509964
Cd_6,0.04028747158670802
Zn_1,0.0076783403756663015
Zn_2,0.02465672789058484
Zn_3,0.05118346148824037
Zn_4,0.07755496292334065
Zn_5,0.10225874517515723
Zn_6,0.11214259188580784
Cu_1,-0.003770000834761212
Cu_2,-0.005800662384817972
Cu_3,-0.00013345351984327342
Cu_4,0.002887136666220797
Cu_5,0.004300181354630299
Cu_6,0.012859266218376984
Pb_1,0.0063600373289895784
Pb_2,0.008129779267926181
Pb_3,0.010405006425866076
Pb_4,0.016732981026337725
Pb_5,0.01624410031284344
Pb_6,0.014386761583458032
