k,name,in_iM,gene_weight,regulator,function,category
11,Chromium,False,-0.014999965094029902,,,
4,UC-4,False,-0.008797490652650595,,,
6,Iron,False,0.007195399599149823,,,
7,Zinc - Steady,False,-0.005668506333604455,,,
14,UC-7,False,-0.004338125674985349,,,
10,Copper,False,0.003609397714026272,,,
1,UC-2,False,-0.003433409454301,,,
8,Zinc - Fast,False,0.002945105019025505,,,
3,Cadmium,False,-0.0022890132036991412,,,
5,Lead,False,-0.0022819244116544725,,,
12,Zinc - Intermediate,False,-0.0017028996203352798,,,
13,UC-6,False,0.001458867241162807,,,
9,UC-5,False,-0.0009233729601052243,,,
0,UC-1,False,-0.0007014246389735491,,,
2,UC-3,False,-0.0002795449382392689,,,
