,yhfX
Cr_1,-0.008840031741090418
Cr_2,-0.02226535915799968
Cr_3,-0.028719256412780125
Cr_4,-0.03832701946416912
Cr_5,-0.04402178655985387
Cr_6,-0.04864752217121024
Fe_1,-0.0036408204062229
Fe_2,-0.010867169734970051
Fe_3,-0.03490652722355125
Fe_4,-0.02039661995920925
Fe_5,-0.025387110345350614
Fe_6,-0.011843598969395444
Cd_1,0.006171406927695457
Cd_2,0.006671198551690419
Cd_3,0.004804300726925879
Cd_4,0.009369563326778877
Cd_5,0.014365077924771557
Cd_6,0.015244063338777881
Zn_1,0.007424951064662227
Zn_2,-0.009136769741948743
Zn_3,-0.0003737474507243232
Zn_4,-0.011735766286102844
Zn_5,0.003222360056768982
Zn_6,0.014392688010835788
Cu_1,0.010060951544928115
Cu_2,0.016443931184567974
Cu_3,0.027514387905252083
Cu_4,0.037428902103655945
Cu_5,0.03508395820585418
Cu_6,0.04116765052013053
Pb_1,0.002686558685931022
Pb_2,0.003792957355669446
Pb_3,0.0114760565049685
Pb_4,0.018615302964426168
Pb_5,0.027638836361395733
Pb_6,0.031338834098883085
