,creA
Cr_1,-0.0052538541689076575
Cr_2,-0.00031748019584232204
Cr_3,-0.0011518909798942172
Cr_4,0.0007896074470204244
Cr_5,0.0068768372148082044
Cr_6,0.004044273382286707
Fe_1,-0.03222027828997162
Fe_2,-0.06638557143346137
Fe_3,-0.09227323633540738
Fe_4,-0.11687036771715775
Fe_5,-0.12980995801915626
Fe_6,-0.12310629875589485
Cd_1,-0.0008339690945166388
Cd_2,0.00045640123102409726
Cd_3,0.002475138931968587
Cd_4,-0.002033146149018039
Cd_5,-0.004121069760125075
Cd_6,0.0016826420848974008
Zn_1,-0.0008350394172217049
Zn_2,-0.11780359114313975
Zn_3,0.024715021847194846
Zn_4,-0.0593530179554455
Zn_5,-0.08409070870195108
Zn_6,-0.08208766012594702
Cu_1,0.006741076089963723
Cu_2,0.009840731416787605
Cu_3,0.010717389878267477
Cu_4,0.01956441410952405
Cu_5,0.0305650805965994
Cu_6,0.04001192170040101
Pb_1,0.007541892898781524
Pb_2,0.02116451233187537
Pb_3,0.03229865442843826
Pb_4,0.042218633769409805
Pb_5,0.05068648695642783
Pb_6,0.06568669251093276
