,Value,list
TF,soxS,
reg_genes,53,"['tolC' 'waaZ' 'zinT' 'yrbL' 'ycgZ' 'acrZ' 'pqiA' 'acrB' 'acrA' 'yjcB'
 'ypeC' 'aldA' 'rob' 'ygiC' 'ygiB' 'ompN' 'pqiC' 'ymgC' 'pgi' 'marR'
 'pqiB' 'ptsG' 'fur' 'marA' 'acnA' 'waaY' 'nfsB' 'tyrA' 'aroF' 'ybjN']"
comp_genes,41,"['rspB' 'yaiA' 'yeiI' 'mltC' 'mdtG' 'frvX' 'yobH' 'yhcN' 'lipA' 'ygfZ'
 'oxyR' 'yggX' 'treF' 'yjjI' 'aegA' 'yjjW' 'rspA' 'cpsG']"
both_genes,23,"['fpr' 'lpxC' 'mdlA' 'ybjC' 'nfo' 'mdlB' 'inaA' 'ariR' 'soxS' 'rimK'
 'ribA' 'fldA' 'zwf' 'fumC' 'pfo' 'nfsA' 'ymgA' 'nepI' 'fldB' 'nhoA'
 'poxB' 'sodA' 'ybaO']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,36,
comp_ops,35,
both_ops,19,
