,A,soxS
R2,,0.7337051167471857
xmin,,0.0
xmid,,7.928457304743608
xmax,,13.4358059475861
ystart,,-0.8583059456534876
yend,,21.285216789925414
control__wt_glc__1,-0.15639957303500002,6.23006928377959
control__wt_glc__2,0.15639957303500002,6.1044967589362695
fur__wt_dpd__1,5.03533509737,8.00904660898216
fur__wt_dpd__2,5.05194369842,8.17250917818908
fur__wt_fe__1,-0.228410001919,6.16135348191043
fur__wt_fe__2,-0.138295411106,6.173333563360099
fur__delfur_dpd__1,3.6249532340400004,7.427417310570769
fur__delfur_dpd__2,3.2735200812299996,7.29027047907506
fur__delfur_fe2__1,1.87678380237,8.1337969454839
fur__delfur_fe2__2,2.03369482063,8.06669415759234
acid__wt_ph5__1,0.45169191923600005,6.57097532325439
acid__wt_ph5__2,0.6422306363120001,6.616156273963401
acid__delgadx_ph5__1,1.45706747292,6.8634778038613
acid__delgadx_ph5__2,0.917572879153,6.71214775418113
acid__delgadw_ph5__1,1.16536180544,7.12875912785032
acid__delgadw_ph5__2,1.0474564494499998,7.144272047538309
acid__delgade_ph5__1,1.13453779989,6.94434752662532
acid__delgade_ph5__2,1.14141529189,6.90747588933671
oxidative__wt_pq__1,22.2055964703,12.9639150838974
oxidative__wt_pq__2,21.9625920131,12.9596492981515
oxidative__deloxyr_pq__1,24.7404708246,13.306262954288302
oxidative__deloxyr_pq__2,24.0756859169,13.4358059475861
oxidative__delsoxr_pq__1,1.1633520616600002,7.844773848875691
oxidative__delsoxr_pq__2,1.33440388592,7.894648269207929
oxidative__delsoxs_pq__1,-3.44756102745,0.0
oxidative__delsoxs_pq__2,-4.0430663417699995,0.0
nac_ntrc__wt_csn__1,7.80775326226,10.769406460692101
nac_ntrc__wt_csn__2,8.097381645639999,10.628519449216899
nac_ntrc__wt_cytd__1,8.06595196844,10.231110976252099
nac_ntrc__wt_cytd__2,7.875829950710001,10.340125039606098
nac_ntrc__wt_gln__1,0.623524624908,7.075596436364089
nac_ntrc__wt_gln__2,0.468069517846,6.9704376863600706
nac_ntrc__bw_delnac_csn__1,8.368284114380002,11.165594886826101
nac_ntrc__bw_delnac_csn__2,8.44125558982,11.1994948360287
nac_ntrc__bw_delnac_cytd__1,5.996716617430001,9.94128442090936
nac_ntrc__bw_delnac_cytd__2,5.818089651749999,9.744420864992641
nac_ntrc__bw_delnac_gln__1,0.418537832037,7.05045424377544
nac_ntrc__bw_delnac_gln__2,0.40198190832099995,7.152644946001519
nac_ntrc__bw_delnac_nh4__1,-1.8063511571700002,6.41229143077729
nac_ntrc__bw_delnac_nh4__2,-1.8694023789200003,6.5470041592201795
misc__wt_no_te__1,-0.00433602386786,6.55532066217407
misc__wt_no_te__2,-0.701304135732,6.50062289895324
misc__bw_delcbl__1,-1.5372770061399998,6.180807464303871
misc__bw_delcbl__2,-1.6521982652200002,6.32800739115442
misc__bw_delfabr__1,-1.6123482771200002,6.3359528058870005
misc__bw_delfabr__2,-1.61851113293,6.485551726653269
misc__bw_delfadr__1,-1.5265164858000002,6.29875746608122
misc__bw_delfadr__2,-1.59783895178,6.26822673498295
misc__nitr_031__1,-1.06924525506,6.682040601324
omics__wt_glu__1,0.2186140788,8.78649126998898
omics__wt_glu__2,0.573987122356,8.93546436147453
omics__wt_gly__1,0.30673658027600004,8.48568076738813
omics__wt_gly__2,0.44783810066299995,8.49342497478028
omics__wt_thr__1,-0.36189288944700004,8.17618590678751
omics__wt_thr__2,0.00222495682732,8.26035838728364
omics__bw_ac__1,-1.93694529368,7.2599250819497
omics__bw_ac__2,-1.7391814398700003,7.32819129641713
omics__bw_fum__1,-2.9521639125599997,6.76876581544093
omics__bw_fum__2,-2.36326349694,7.0594793215320895
omics__bw_glc__1,-0.572290344003,7.10937649895249
omics__bw_glc__2,-0.511410199384,7.193512230814071
omics__bw_pyr__1,-1.70994069611,7.28884326411482
omics__bw_pyr__2,-1.61311015424,7.217994800799791
ompr__wt_nacl__1,1.13353746063,5.340238747409559
ompr__wt_nacl__2,1.4735662825,5.76732857428591
ompr__bw_delompr_nacl__1,3.87990782824,7.032004921027481
ompr__bw_delompr_nacl__2,4.202670889049999,7.01920769342455
minspan__wt_ade__1,2.17555976257,6.944069618754231
minspan__wt_glc__1,-0.49545884022299996,5.91284247826654
minspan__wt_glc__2,-0.184338134931,5.33737826168742
minspan__wt_glc__3,0.420415029511,5.37039921980474
minspan__wt_glc__4,0.337774297822,5.42902888754544
minspan__wt_glc_anaero__1,-3.46585661296,4.51445716967658
minspan__wt_glc_anaero__2,-3.26661541004,5.49871222853669
minspan__wt_trp__1,-0.673200245408,5.181176994874731
minspan__bw_delcra_glc__1,0.223434631892,5.571719992819509
minspan__bw_delcra_glc__2,0.39767238167400004,5.75308022692311
minspan__bw_delcra_trp__1,-2.2221206992099996,5.30390815888697
minspan__bw_delmntr__1,0.487178375796,5.29769989163637
minspan__bw_delnac_ade__1,0.809456258714,6.23307018955965
minspan__bw_delnac_glc__1,-0.5512712141489999,6.18519077901556
cra_crp__wt_ac__1,-2.01193316359,8.54431268531827
cra_crp__wt_ac__2,-3.21081184523,8.69749355350843
cra_crp__wt_fru__1,-1.5033177973700003,9.057669627593581
cra_crp__wt_fru__2,-0.96123013354,9.04317594651436
cra_crp__delcra_ac__1,-2.3907434348099996,6.62187997707065
cra_crp__delcra_ac__2,-2.10545139151,6.5623113509615
cra_crp__delcra_fru__1,-0.51699451276,6.33702705203189
cra_crp__delcra_fru__2,0.131056930345,6.763498575675889
cra_crp__delcra_glc__1,0.208923620841,6.5446830576923
cra_crp__delcra_glc__2,-0.37508771726999995,6.482139080844999
rpoB__wt_031__1,-2.21495368397,6.73123235120315
rpoB__wt_044__1,-0.159390404521,6.475336284123171
rpoB__wt_lb__1,-0.3732915501,6.49217879597092
rpoB__wt_lb__2,-0.7033793361480001,6.36770373799537
rpoB__rpoBE546V_031__1,-1.31005870213,7.16057050913548
