,ylbG
Cr_1,0.009301084749961924
Cr_2,0.015362984107060362
Cr_3,0.007932352252993382
Cr_4,-0.003008324165569964
Cr_5,-0.012997064722271336
Cr_6,-0.02081695855923924
Fe_1,-0.052622907852173516
Fe_2,-0.10987219930474564
Fe_3,-0.15871679985192802
Fe_4,-0.20360206823792013
Fe_5,-0.2361576224146296
Fe_6,-0.2604140466866734
Cd_1,0.0031842736908353213
Cd_2,0.0072315938636390575
Cd_3,0.01250530248608227
Cd_4,0.013852099282755834
Cd_5,0.009495392775843598
Cd_6,0.010420719870342272
Zn_1,-0.031300957684560884
Zn_2,-0.03840313179922162
Zn_3,-0.02991132855354598
Zn_4,-0.020796820885063173
Zn_5,-0.011715168775809788
Zn_6,0.003968453627312769
Cu_1,0.005006548790841328
Cu_2,0.011473778475177452
Cu_3,0.014264723283547566
Cu_4,0.022696172710204663
Cu_5,0.03052892339805338
Cu_6,0.04077692644935023
Pb_1,0.005288252094912205
Pb_2,0.008822459454519616
Pb_3,0.018365425269074264
Pb_4,0.03379571569371953
Pb_5,0.04811704408236371
Pb_6,0.06302185257938529
