,STM4042A
SRX3136375,0.0429637524
SRX3136376,-0.0045618579
SRX3136377,-0.2712643169
SRX3136378,0.23286242240000002
SRX3136379,0.0854409686
SRX3136380,0.036400357700000004
SRX3136381,-0.0028879449000000002
SRX3136382,0.0641950285
SRX8914620,0.1067371723
SRX8914621,-0.10824545020000001
SRX8914622,0.0015082779
SRX8914623,-0.0206264796
SRX8914625,0.3564039785
ERX3503512,-0.014078564200000001
ERX3503513,-0.0346279975
ERX3503514,0.048706561700000005
ERX3503515,0.4818514003
ERX3503516,0.2755847516
ERX3503517,0.4155765702
ERX3503518,0.1362891671
ERX3503519,-0.0504576209
ERX3503520,0.3497201787
SRX2195704,0.1124453343
SRX2195705,-0.1124453343
SRX2195706,0.0827682096
SRX2195707,0.2153853214
SRX2195708,0.765283276
SRX2195709,0.6124154682
SRX2195710,1.0484975011
SRX2195711,0.8566296160000001
ERX3467881,-0.0717728514
ERX3467883,0.0717728514
SRX3798491,-0.18908935940000002
SRX3798492,0.497847509
SRX3798499,0.0545672943
SRX3798500,-0.33734278030000003
SRX3798501,0.2814888601
SRX3798502,0.4779910006
SRX3798503,-0.4792134535
SRX3798504,-1.0916852306
SRX3798506,-0.831077429
SRX3798507,-0.4985545635
SRX3798508,-0.2985772292
SRX3798509,0.0206109253
SRX3798510,-0.0751096876
SRX3798517,0.42747484500000005
SRX3798518,0.0544987623
SRX4341761,-0.15478122
SRX4341762,-0.41679400310000003
SRX4341763,-0.7555895094
SRX4341764,-1.2459543642
SRX4341765,-1.233598703
SRX4341766,-1.1689307550999999
SRX4341767,-0.1919862534
SRX4341768,0.061778714000000005
SRX4341769,0.13020753940000002
SRX1258665,0.2860234773
SRX1258666,0.2379097249
SRX1258667,0.5091504962
SRX1258669,-0.1310258842
SRX1258670,0.1310258842
ERX2079594,0.4099319668
ERX2079595,0.19044143970000002
ERX2079596,0.3596485676
ERX2079597,0.09898839990000001
ERX2079598,-0.1646167552
ERX2079599,0.0656283553
SRX2804001,0.028403443900000002
SRX2804004,0.3282639738
SRX2804005,0.35250093180000003
SRX2804006,0.3603914703
SRX2804007,-0.2031080842
SRX2804008,0.2795119316
SRX2804009,0.1960828365
SRX2804010,-0.21102493630000002
SRX2804011,0.0061413959
SRX2804012,-0.2083255312
SRX2804013,0.2838295361
SRX2804014,0.1709073597
SRX2804015,0.1883019027
SRX2804016,-0.48474415590000003
SRX2804017,-0.2818815563
SRX2804019,-0.0271987784
SRX2804020,0.1703030314
SRX2804021,0.46560957620000004
SRX2804022,0.3536206938
SRX2804023,-0.050455619800000004
SRX2804024,0.057751663800000005
SRX2804027,0.0307165527
SRX2804028,0.0139509935
SRX2804029,-0.044667546200000005
SRX2804030,-0.4449657386
SRX2804031,-0.018012172700000002
SRX2804032,-0.18944936380000002
SRX2804033,0.1496202688
SRX2804034,1.0428570492
SRX2804035,-0.5013218855
SRX2804036,-0.5019122088
SRX2804037,0.21833773250000002
SRX2804038,-0.0147774575
SRX2804039,0.7837546093000001
SRX2804040,-0.0371484908
SRX2804041,0.3229426512
SRX2804042,0.6750920524
SRX2804043,0.111698588
SRX2804044,0.1647324551
SRX2804045,0.46011722380000003
SRX2804046,-0.37221608640000003
SRX2804047,0.0759478043
SRX2804048,0.3088422084
SRX2804049,0.4181767363
SRX2804050,-0.6616086311
SRX2804051,-0.207055872
SRX2804052,0.0878720684
SRX2804053,0.6470776465
SRX2804054,0.1675113376
SRX2804055,-0.2536415966
SRX2804056,0.2214977266
SRX2804057,0.2844946378
SRX2804058,-0.15022227970000002
SRX2804059,0.006469506900000001
SRX2070419,0.6519837890000001
SRX2070420,0.4693631992
SRX2070421,0.3710024507
SRX2070422,-0.1251109053
SRX2070423,0.012962983400000001
SRX2070424,-0.0945038045
SRX2070425,-0.0326474224
SRX2070426,0.11862889100000001
SRX2070427,-0.0859814686
SRX1470895,-0.1018634831
SRX1470896,0.1018634831
SRX2409106,0.0483765834
SRX2409107,0.028885133900000002
SRX2409108,-0.0772617172
SRX2409109,0.16960776260000002
SRX2409110,0.4684509739
SRX2409111,0.0437538961
SRX7973255,0.1654474475
SRX7973256,-0.0948196858
SRX7973257,-0.0706277617
SRX7973258,0.1069830246
SRX7973259,-0.1182204008
SRX7973260,-0.0294697449
SRX7973261,-0.0454076801
SRX7973262,-0.6482248639
SRX7973264,-0.0601384053
SRX7973265,-0.4224367033
SRX7973266,-0.029923492700000002
ERX3475890,-1.109918623
ERX3475891,-0.6168834927
ERX3475892,-0.1875303104
ERX3475894,-0.11653305920000001
ERX3475895,-0.5624473534000001
ERX3475896,0.2974953929
ERX3475897,0.3865766939
ERX3475899,-0.6840720868
ERX3475900,-0.2463009722
ERX3475901,0.09429676540000001
SRX8524961,-0.1118922349
SRX8524962,-0.0375250347
SRX8524963,-0.9687103143
SRX8524964,-0.706412911
SRX8524965,0.1680953945
SRX8524966,-0.1680953945
SRX8524967,-0.9404242739
SRX8524968,-0.9013013630000001
SRX8524969,0.3071935398
SRX8524970,0.2684402027
SRX8524971,-0.37502629600000004
SRX8524972,0.1470540239
SRX3266937,0.0765639057
SRX3266939,-0.0765639057
SRX4401053,0.0161227996
SRX4401054,-0.0161227996
SRX4401055,0.0216184195
SRX4401056,-0.45072344950000004
SRX4401057,0.519976583
SRX4401058,-0.07999133630000001
SRX4401081,-0.3559441748
SRX4401082,-0.1799715993
SRX4401083,-0.1366652891
SRX4401084,1.2349660708
SRX4401085,1.2160582842
SRX4401086,0.9359082462
SRX4401087,-0.19085716730000002
SRX4401088,0.0134626663
SRX4401089,-0.3979811064
SRX4401090,0.7441475398
SRX4401091,0.8449087432
SRX4401092,0.5461019367000001
SRX4401093,0.1029142767
SRX4401094,0.3577197592
SRX4401095,-0.10911450610000001
SRX4401096,0.9956666298000001
SRX4401097,1.4065996778
SRX4401098,1.1136521931
SRX4401099,-0.2099202014
SRX4401100,0.2559939801
SRX4401101,-0.046073778700000005
SRX4401102,0.9896158071000001
SRX4401103,0.9315932579
SRX4401104,0.8633015451
SRX8757611,-0.0432520687
SRX8757612,-0.06794053280000001
SRX8757613,-0.12294748330000001
SRX8757614,-0.2827200286
SRX8757615,-0.5495857584
SRX8757616,-0.0742473158
SRX8757617,-0.1019877114
SRX8757618,0.37909253930000003
SRX8757619,-0.24479226850000002
SRX8757620,-0.0341899514
SRX8757621,-0.3329498053
SRX8757622,-0.7457604484
SRX8757623,0.3759612167
SRX8757625,0.175671131
SRX8757626,-0.2350799657
SRX8757628,0.10213048420000001
SRX8757630,0.11747405520000001
SRX8757631,-1.018313449
SRX8757632,-0.5372600178
SRX8757633,0.8984793190000001
SRX8757634,-0.1116017062
SRX6054568,-0.0752209924
SRX6054569,0.0752209924
ERX540771,0.1218538443
ERX540772,-0.1218538443
ERX540773,-0.1447075838
ERX540774,0.24125607240000002
SRX4702827,0.0086588021
SRX4702828,-0.1038924177
SRX4702829,0.0952336156
SRX4702830,-0.6115750670000001
SRX4702831,-0.4905862808
SRX4702832,-0.4395998351
SRX2993586,-0.2156124975
SRX2993587,0.2156124975
SRX2993588,0.1770399329
SRX2993589,1.4545168093
SRX2993590,0.42715032010000004
SRX1462169,0.3000607916
SRX1462104,0.0089655288
SRX1462103,0.0728073952
SRX1462105,-0.0543657148
SRX1462171,0.2727866936
SRX1462102,-0.0728073952
ERX1045682,-1.3731353585
ERX1045674,0.289560796
ERX1045681,0.09575642770000001
