,cusR
Cr_1,0.007955830166089459
Cr_2,0.014599225003356432
Cr_3,0.016719603259856403
Cr_4,0.017370915708158047
Cr_5,0.019843275568884503
Cr_6,0.02242273190332957
Fe_1,-0.003011630808745243
Fe_2,-0.011717542644367907
Fe_3,-0.01805510139697382
Fe_4,-0.017670506399109498
Fe_5,-0.01052723615995525
Fe_6,-0.007098962622899593
Cd_1,0.0018492631928119614
Cd_2,0.00285647557854495
Cd_3,0.003970190226396417
Cd_4,0.0044917620968421
Cd_5,-0.0003044129763391687
Cd_6,0.0028531783984269174
Zn_1,0.004246140206177804
Zn_2,0.007750305775726329
Zn_3,0.01701075041195881
Zn_4,0.028438428672487068
Zn_5,0.02932370643977988
Zn_6,0.034353588445289775
Cu_1,0.022183420501927887
Cu_2,0.05460048787628776
Cu_3,0.08905804608191263
Cu_4,0.11888817961045163
Cu_5,0.13578673631207416
Cu_6,0.14896022271455536
Pb_1,0.007737531737228825
Pb_2,0.012564449950060737
Pb_3,0.02618560610361316
Pb_4,0.044442999165741084
Pb_5,0.054533551448765816
Pb_6,0.07002642161007351
