,rpsB
Cr_1,0.0018836616637643649
Cr_2,0.005607404954176263
Cr_3,0.013842897202324471
Cr_4,0.0205595212667345
Cr_5,0.026999678858305717
Cr_6,0.0337119065983461
Fe_1,-0.019732940551034424
Fe_2,-0.02295471687117132
Fe_3,-0.018301108543018783
Fe_4,-0.030170616594838683
Fe_5,-0.05233618171313647
Fe_6,-0.07254271155877239
Cd_1,0.005156764686457286
Cd_2,0.011424868001749477
Cd_3,0.0187609048411279
Cd_4,0.019731864462029392
Cd_5,0.018825134080203483
Cd_6,0.019893583661999368
Zn_1,-0.07752861366665545
Zn_2,-0.18543170167426692
Zn_3,-0.26746466272935976
Zn_4,-0.028588846793934232
Zn_5,-0.09208704588319803
Zn_6,-0.11482551685761372
Cu_1,8.06431573153731e-05
Cu_2,0.0002571172773287915
Cu_3,0.004341424835297638
Cu_4,0.006294028859956771
Cu_5,0.011022722834227745
Cu_6,0.0150104646762593
Pb_1,0.004065264475395185
Pb_2,0.010460550828738513
Pb_3,0.013664062721202491
Pb_4,0.016084672812224553
Pb_5,0.019608685788989742
Pb_6,0.022719184551512683
