,-0.1328945272638606,-0.08859635150924042,-0.04429817575462022,-2.7755575615628914e-17,0.04429817575462017,0.08859635150924036,0.13289452726386056,0.17719270301848075,0.22149087877310095,0.26578905452772117,0.3100872302823413,0.35438540603696156,0.3986835817915817,0.44298175754620184,0.4872799333008221,0.5315781090554423,0.5758762848100625,0.6201744605646826,0.6644726363193029,0.7087708120739231
thresh,-0.1550436151411707,0.1550436151411707,26,,,,,,,,,,,,,,,,,
unreg,0,0,49,3429,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ArcA,0,0,2,178,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GadX,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H-NS,0,0,4,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OmpR,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GadE-RcsB,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lrp,0,0,2,248,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArcA and GadX,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArcA and H-NS,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArcA and OmpR,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArcA and Lrp,0,0,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GadX and H-NS,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GadX and Lrp,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H-NS and OmpR,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H-NS and Lrp,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OmpR and Lrp,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GadX, H-NS, and Lrp",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArcA, OmpR, and Lrp",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GadX, H-NS, and GadE-RcsB",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GadX, OmpR, and Lrp",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H-NS, GadE-RcsB, and Lrp",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArcA, GadX, H-NS, and GadE-RcsB",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArcA, H-NS, and Lrp",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H-NS, OmpR, and CadC",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArcA, GadX, and H-NS",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
