,A,CadC,ArcA,Lrp,OmpR,gadE,GadX,hns
R2,,0.11531196476026473,0.051582295545397394,0.01907140754834069,0.01368937785683999,0.012358699698866382,0.007118073158639104,0.0012575096433166122
xmin,,-2.749655037,-3.6017898952,-10.1521245118,-7.3287963615,-10.6456861873,-9.8758005074,-11.2828757996
xmid,,,-0.7313951909455051,-2.5102612508917503,-0.7586786782601055,-0.9607023869692656,0.6896246701875787,
xmax,,3.5945074536,3.7109145168,2.3501929199,3.1898666866,8.414435029,6.3348834177,2.8974495703
ystart,,-2.641946756689533,-0.6498685112157785,1.1201293342341683,-0.4119039452936673,-0.14994647251895352,-0.01003660505272963,-1.0411660097791775
yend,,3.3953264154572396,2.9012917820416058,-1.145374632666749,1.5946648090807312,1.8923384844793005,2.3495857381761382,0.34392173835484113
SRX1125282,1.4797264677,0.2844789975,0.1536251284,0.1917489778,0.2497692515,0.0621393482,-0.12482847,-0.0832222629
SRX1125283,0.025898727000000003,-0.6389502252,-0.1085541986,-0.0036410337,0.28065399900000004,-0.0775836905,-0.2006028142,-0.0215977273
SRX1125284,0.0947906049,-0.7988548975,-0.269085791,0.0638516938,0.23529942180000002,-0.3037116648,-0.453886748,0.014475031800000001
SRX1125285,0.5168446078,-1.1162083998,0.0131235692,0.1884466547,0.2356387398,-0.6782840429,-0.5297956462,-0.069698208
SRX1125286,-0.4338167833,-1.1895614064,0.26443002660000003,0.2606995247,0.24470173650000002,-1.4889721360000001,-0.9186168223000001,-0.28960489710000004
SRX1125287,0.3557582696,-1.086903511,-0.1415413156,-0.18787669680000002,0.040896054200000004,-2.4019165461,-1.090569979,-0.2321548066
SRX1125288,-0.1516060867,0.087319279,-0.1227035083,-0.0850462209,-0.2747716412,0.041719227000000005,0.168993417,-0.0482583698
SRX1125289,-0.4252980901,-0.8654759895,-0.4182880135,0.23201001070000002,0.093119,-0.424849611,-0.0410269929,-0.2218292502
SRX1125290,-0.0229661773,-1.2120456228,-0.1456535487,0.4624908091,0.0729251304,-0.44893103030000003,-0.3590915656,-0.0773807522
SRX1125291,-0.2236432093,-1.2389866513,0.0864050615,0.5094912821,0.3581703524,-1.0487204906,-0.6117241531000001,-0.0678102107
SRX1125292,0.1414463336,-1.4563587129,0.326354303,0.42741818940000004,0.4398804308,-1.6855790384,-0.8113224360000001,-0.1422065635
SRX1125293,0.4898335251,-0.7153949131,0.2809830862,-0.011315053200000001,0.600781589,-1.4300344111,-0.3007966758,0.2490992528
SRX1125294,-1.328120381,-0.3717982764,-0.0309216201,-0.1067027569,0.0250023898,-0.1038585752,-0.044164947,0.13148063270000002
SRX1125295,0.3843370833,-0.4099570878,-0.0305290823,-0.034949130700000004,0.1892559365,0.0621604285,-0.0560384067,0.2910135497
SRX1125296,-0.423316935,-1.0854093517,-0.30555163100000005,-0.0507207701,0.13355006560000002,-0.19929222430000001,-0.3621821525,0.1734109775
SRX1125297,-0.0720730908,-0.5690564610000001,0.0006214416,0.0607301561,0.0493795467,-0.3393068897,-0.256270286,0.28443055370000003
SRX1125298,0.3729691933,-1.0153834629,0.6068628834,0.6821826714,0.252283246,-0.9678010195000001,-0.6250523681,0.0742654028
SRX1125299,0.2078215393,-0.5362347252,0.5516321501,0.1046706146,0.6175674846,-1.2284636416999999,-0.44868729430000004,0.23033813420000002
SRX5694250,2.2006165693,1.2728728167,0.49107579710000004,-0.07686038270000001,0.5512269408,-1.7063474712,-2.3499672652,-1.3295713452
SRX5694251,-9.9234585367,-0.5413608982,-0.9538123343,-0.4184515133,0.19084988490000002,-1.4227546253,0.7928732780000001,0.6661338201
SRX5694252,-0.0160170365,0.11026194830000001,0.3631602573,-0.0463286922,-0.1662381186,-4.5605077804,-2.4224282235,-1.732107911
SRX5694253,-1.1499827659,0.3607647574,-0.17749356630000002,0.291528555,0.17057843350000002,1.045356825,0.1668165807,0.16751679260000002
SRX5694254,-0.2980578005,1.9270617263,-0.2571254471,0.5837445491000001,0.3753594524,2.0593195543,1.9662204062000002,-0.3087090213
SRX5694255,-4.1829390043,-0.9476523753,-0.5795873771,-0.5783668051,-0.2004741858,0.1046641752,0.501196129,-1.4290721084
SRX5694256,-2.5158832325000002,-0.3225182004,-0.6394832572,-0.3544948952,-0.047666706600000004,-0.4964382377,-1.7148761242,-0.1462527268
SRX5694257,0.8379570411,0.5116573206,-0.5994008193,-0.0169901278,0.1902554142,0.38158250460000004,1.5200517399,-0.641073463
SRX5694258,2.155067051,0.7687333766000001,-0.8093510237,-0.19775123900000002,0.2704939628,1.5958281687,0.7656232519,-0.0725217448
SRX5694259,-9.5089639389,1.0656635633,-1.223874242,-1.3513809867,-1.4364410385,-3.3128256518,0.6815171684,0.4503702694
SRX5694260,0.2542831343,0.0445706318,-0.20132201460000002,-0.0936446555,0.0831805821,0.11608212080000001,-0.3299062304,0.1739432252
SRX5694261,-10.3854956805,-1.9617601155000002,-0.38609345780000004,-0.29484850100000004,0.9366768202,-3.6358730242,-3.2226228409,-0.6767263614
SRX5694262,-0.5244707447,0.39220237480000003,1.2331627263,0.0541041576,-0.0854510456,-3.3287021187,-1.9566249129000002,-1.031702481
SRX5694263,0.4460479176,-0.08714892490000001,-0.4496263185,-0.0762063272,-0.1833382698,-0.4397971825,-0.8786231087,0.14700628870000002
SRX5694264,-6.3696716288,0.076317994,-0.5000365137,-0.5672398331,0.0680341922,0.43782235220000004,-0.0761600344,-0.41701238430000004
SRX5694265,0.699842631,0.16955926570000002,-0.9224545732,0.053708981100000004,-0.7069581067,-0.5722216720000001,-1.1091857831,-0.1614027818
SRX5694267,-1.3436784984,0.15831083370000001,-0.31040230480000003,0.1920871912,0.3107996135,1.2688724873,0.376795678,0.3006681781
SRX5694268,-1.2328308278,-0.5203570667,-0.1547312355,0.0033290340000000002,0.38625837220000003,-1.363562354,-1.7436352791,-0.0815327794
SRX5694269,0.8228520901,-0.0159873749,-0.7734435138,-0.2368879814,-0.0664744293,-0.3072507333,-0.511696689,0.0328928135
SRX5694271,-1.6050719155,0.0404821212,-0.2452190206,-0.2100487493,0.22516114,-0.0924618771,-0.07581218590000001,-0.10642851340000001
SRX5694273,-6.2517818452,-0.603180648,-0.6604458461,-1.9313953898,-0.6563530731,-2.8772927939,-2.1267472409,0.6464433037
SRX5694274,2.1422264323,-0.030404835300000002,-0.36638296740000004,-0.2188764248,-0.0896789156,-0.3623026205,-1.2403638727,-0.0005954383
SRX5694275,-6.1434474596,-0.9012740332,-0.6634625427,-1.5745697947,0.27857363300000004,-3.2839056054,-3.1051406477,-0.7840740106
SRX5694276,-10.3226587001,-0.5452839209,-0.7503258015000001,-0.7282929664000001,-0.7353871311,-2.4826404768,-0.3728021711,0.7946358242
SRX5694277,-3.5371540221,0.0787621921,-0.1047583445,0.2102835278,0.3609948972,-0.6607328271,-0.9322027937,-0.3573271824
SRX5694278,-3.0902443001,-0.4775207918,-1.0523870943,-0.34232132660000003,0.0071867107000000005,-0.7255561041,-0.8765831047,1.536242647
SRX5694279,2.756909723,-0.157512654,-0.3908090648,-0.0360912475,0.0655605725,-0.027302434900000002,-0.40183986400000005,-0.206662584
SRX5694280,-4.1773102826,-1.389081298,-0.6588512144,-0.46139139360000003,-0.019153321100000002,-2.529356985,-2.4687764906,0.48643795360000003
SRX5694281,3.7213452457000002,0.0498922112,-0.796986874,-0.0707081911,0.1080997051,1.3632711,-0.7513260327,-0.5867027299
SRX5694282,-5.5960884305,-1.2247051341,0.6215221205,-0.9188570988,1.8100974600000002,-4.1068654799,-1.4329339531,1.5495831874000001
SRX5694283,-6.1471334125,-0.9687315308000001,-0.7357496835,-0.022524302700000002,-0.12353837790000001,-2.282083813,-1.431567725,0.5062316505
SRX5694284,-6.8191623677,-1.2850970469,-0.8809856715000001,-0.20139311000000001,-0.21433275870000001,-2.4563760988,-1.6205083346,0.2590986018
SRX5694285,-0.3824061834,0.4793099176,-0.332200824,-0.7064351524,-0.09583014940000001,-0.4437220542,-1.3468065535,0.0087843152
SRX5694286,-3.2887903861,-0.1292152071,-0.7032624132,-1.1960682364,-0.0601121022,-2.1718149848,-2.3473347349,-0.3992162387
SRX5694287,-0.6529767102,0.26020184220000003,0.5471721956,0.7780823415,0.9240665007000001,-0.43372625610000004,-0.4288208538,0.8313039999
SRX5694288,-1.5039896015,0.0359363879,-0.6750352942000001,-0.4910773156,0.0910367456,0.6134386042000001,0.2573011581,-0.45174707410000003
SRX5694289,-2.4368659263,0.0295139381,-0.7443126348,-0.1605013107,-0.0980784631,0.5352186476,-0.24775163050000001,0.46102281510000004
SRX5694290,-6.1775776491,0.1292020607,-0.46151863260000003,-0.4457081766,-0.057151718500000004,0.38548183550000004,0.0183788918,-0.39522827390000004
SRX5694291,-4.4760852175,-0.8944009555,-0.6557503914,-0.5657690496000001,-0.1720156404,-0.406351615,0.2447267686,-1.3338308134
SRX5694292,4.423464499,0.0665853693,-0.6482476939,-0.0129645851,0.10161821280000001,0.6012156823,-0.36236828200000004,-0.43565160620000004
SRX5694293,-1.1815021102,0.0841095692,-0.4793409832,-0.2699756884,0.3218156103,0.5584385489,-0.4192109835,0.038069885000000005
SRX5694294,1.3189612363,0.6496742266000001,-0.5675396422,0.139214748,-0.0033687667000000003,1.4629122597,0.1696465278,-0.24636549170000002
SRX5694295,0.4340285625,0.23705702680000001,-0.034679769900000004,-1.0064182484,-0.5438908621,0.5317937379000001,0.9935815526,-1.4046597106
SRX5694296,-1.5538511898,0.4180461073,-0.3525345714,-0.0378195053,0.2173257979,1.0806453395,0.4317259873,0.0952690145
SRX5694297,-1.5776546,1.2162964581,-0.0338108436,-0.7699850183,-0.0077695386000000005,3.4118167844,1.8701901873,1.1708920348
SRX5694298,2.9863049958000003,0.29287850660000003,-0.4064062229,-0.5983222528000001,-0.1402548023,0.8469387127,-0.9797652477000001,-0.15364917820000001
SRX5694299,2.7871688306999998,0.5510409181,-0.40150323260000004,-0.0788764182,-0.2185436949,0.7054832608,0.159103836,-0.329062373
SRX5694300,-1.1508983436,-0.1682131635,-0.4034077274,0.1571077622,-0.5186667481,-0.8408210866,-0.8223882814,0.6446787887000001
SRX5694301,4.1981238016,0.12629340390000002,-0.7157018740000001,0.0026593751,0.291166345,0.5953510284,-0.6188705213,-0.499017776
SRX5694302,-3.7774700093,-0.3303381078,-0.7166546285000001,-0.1895165987,-0.07297965590000001,-0.1172498515,-1.1899180729,-0.4983299264
SRX5694303,-1.8879592433,-0.0984878264,-0.5501377366,-0.0914431154,-0.0293658589,0.2168853734,-1.3682942998,-0.9284528158
SRX5694304,-4.898187374,-0.7769537742,-0.3916451892,0.0211183045,-0.46615090750000004,-2.0109520715,-0.6600796003,0.4696265652
SRX5694305,-9.742954105799999,-0.2370736064,-0.7050130261,-0.1386738842,0.1872470703,-1.3554149242,0.7591724793,0.8807592262
SRX5694306,1.2851454318,0.9053183107,0.5643015045,0.38087032870000004,0.3429906437,-3.2163431299,-0.4981753976,-3.003918591
SRX5694307,-6.4980998402,-1.4807300286,0.7962936861000001,-1.0385986195,1.9570831285999999,-3.2195393458,-1.5582623303,2.0280958555
SRX5694308,-0.4833218348,-0.33792965350000004,-0.2826643938,-0.34293042830000003,-0.0992725347,-0.38003294530000004,-0.842764209,0.1282549919
SRX5694309,-5.8076962469,0.3709573957,-0.9324801713,-1.3940862034000001,-1.2509443371,-2.4037995264,-0.4543213488,1.4273784088
SRX5694310,-4.7096640749,-2.3254235482,-0.7154435960000001,-0.1138610196,0.8148138873,-3.9474367155000003,-2.8879711853,0.3338719368
SRX5694311,-8.6849548015,0.2385568184,-1.0549187552000001,-1.2410966374,-1.2449311335,-2.7744955274,0.06966349100000001,0.5479911068000001
SRX5694312,-1.6922959703,-0.44805445200000005,1.2063663425,0.2088463545,-0.0962815137,-4.9543248985,-1.9927050321,-1.8298625141
SRX5694313,0.9619081876000001,1.0598682348,0.24705451250000002,0.0064241946000000005,-0.2874409584,2.0055429386,1.1298134488,-1.2640210537
SRX5694315,-1.1793071592,-0.3504428973,-0.8248140526000001,-0.37709018990000004,-0.1763697091,-1.547670821,-1.3471602564,-0.21223886720000001
SRX5694317,0.9533171854,0.2582427755,0.0642004802,0.6017321859,0.577579982,1.6028198251,1.4323739718000001,0.33937007880000003
SRX5694319,-4.2182952057,-0.0193430926,-0.6773202813,-0.6170299069,0.23088318200000002,-0.0464632497,0.5303945427,-0.2648527613
SRX5694320,-4.4544644277,-1.1032931974,-0.7345571464,-0.6903743882000001,-0.5088942688,-0.9607347717,0.22614956630000002,-1.6065648687
SRX5694321,-5.2386898789,0.1079748164,-0.6457091890000001,-0.0542605311,0.1448217691,0.7767468198,0.034567584900000004,0.7920205793
SRX5694322,-9.4270735597,-0.7147509643000001,0.9416705114,0.5402471191,0.9170945834,-4.9543248985,-1.258112722,1.4962296247
SRX5694323,-6.2917778962,-0.0456753733,-0.5853874625000001,0.3040365601,0.19580065430000002,0.5971726587,0.1027261953,0.8860898538
SRX5694324,-8.6108544792,-0.6361740218,-0.9406118542,0.5055827363000001,1.0530169996,-2.7445693753000002,-0.177495377,1.1582991603
SRX5694325,-4.080126729,-1.6293590955,-0.28599873,-0.0160126656,0.15480531490000002,-2.5253085899,-1.3730748544,1.0332693507
SRX5694326,-0.36497549100000004,0.4552643528,-0.6848857907,-0.1464043041,0.1806672342,0.0351541105,-1.0915837913,-0.5443186423
SRX5694327,-2.3674873506000003,-2.749655037,-0.619184327,0.030627857100000003,0.4383871084,-3.0719010931,-3.0724238099,0.2748227025
SRX5694328,-1.7688666661,0.13866319770000002,-0.7077585323000001,-0.3171028179,0.1448474444,0.9054789811,1.1464631220000001,-0.4196697263
SRX5694329,-1.9639927527,0.4644719525,-0.3164502813,0.0735011207,0.3031067853,2.1786432003,1.2134750358,0.8093676863
SRX5694330,-5.1960760518,-0.3800507569,0.6378008244000001,0.2066967292,0.5307188047,-3.1429497140000002,-2.2041395746,-2.2776908039
