,yegT
Cr_1,-0.006669106616587781
Cr_2,0.0110404531735212
Cr_3,0.03587246442431714
Cr_4,0.0481994441438918
Cr_5,0.05686443265130819
Cr_6,0.06815599772123059
Fe_1,-0.002728678286115789
Fe_2,-0.00816777834516214
Fe_3,-0.013785805687239545
Fe_4,-0.03615868015988208
Fe_5,-0.05381364782603716
Fe_6,-0.056943001633393636
Cd_1,0.0022238336670942775
Cd_2,-0.0010696641595934768
Cd_3,0.0013159037759966211
Cd_4,0.006014860968382203
Cd_5,-0.005834980454183821
Cd_6,-0.008514196009564103
Zn_1,-0.027964982497906233
Zn_2,-0.032830789977826146
Zn_3,-0.0312661236289206
Zn_4,-0.01606954578426756
Zn_5,-0.030666784427201145
Zn_6,-0.04500594646552473
Cu_1,0.011655442716013948
Cu_2,0.02613515957136981
Cu_3,0.047116169817084684
Cu_4,0.06741200030603614
Cu_5,0.07954002400867341
Cu_6,0.08169531045542454
Pb_1,0.010607588953286529
Pb_2,0.026673960066508226
Pb_3,0.043942574856334016
Pb_4,0.058117894262896236
Pb_5,0.07038199963127438
Pb_6,0.06588473215731823
