,A,CusR,HprR,CueR
R2,,0.7809718276827227,0.2825625255763786,0.047831379311322975
xmin,,-6.944846208,-3.5870219375,-3.260627732
xmid,,-3.1871673934737483,-1.0432316023811627,-0.48501331259881375
xmax,,2.6419742250000002,2.4869285395,2.009821649
ystart,,-13.281942290078941,-7.141690217506468,-2.3170504590094017
yend,,10.355432480110055,7.143735828009359,-9.798007752344681
ecoli_00001,-0.1867142409,-0.094533211,-0.1663475805,-0.150994226
ecoli_00002,0.1867142409,0.094533211,0.1663475805,0.150994226
ecoli_00003,-13.017397446,-1.912686514,-0.7380847665,1.445121559
ecoli_00004,-13.1109935079,-1.716375245,-0.8331730245000001,1.3998325280000001
ecoli_00005,-9.4544752306,-1.899270948,-0.3762709125,-0.148187368
ecoli_00006,-8.321382841,-1.7894877130000002,-0.5302086055,-0.088004092
ecoli_00007,-13.0645528615,-2.020189688,-0.7122366315,1.5572242840000001
ecoli_00008,-13.1930502277,-1.846934958,-0.6546254545,1.533295426
ecoli_00009,-3.6080295679,-0.885775273,-0.2132419895,0.08724907500000001
ecoli_00010,-3.743221648,-1.012030832,-0.0286249285,-0.104963864
ecoli_00011,-8.4177524309,-1.599627721,-0.5324571885,0.722854949
ecoli_00012,-8.5447382587,-1.473944785,-0.5531444625,0.876165759
ecoli_00014,-8.2114227976,-1.531940421,-0.6997138015000001,0.34847572800000004
ecoli_00015,-6.4392289855,-1.2630120150000002,-0.4748669915,0.7777941970000001
ecoli_00016,-6.2079695828,-1.226717862,-0.45482882950000003,0.8136383450000001
ecoli_00017,-8.0062981411,-1.422313284,-0.4105632495,0.8402734460000001
ecoli_00018,-8.220374165700001,-1.495320508,-0.5678348095,0.8108316950000001
ecoli_00019,-3.1733289372,0.318540714,-0.6162869175,0.835675869
ecoli_00020,-2.9813835375,0.287879107,-0.7552680055000001,0.936435423
ecoli_00021,-0.1459481618,0.36334277800000003,-0.6789011445,0.6339035120000001
ecoli_00022,-0.0105663997,0.37690755400000003,-0.7123403445000001,0.727391764
ecoli_00023,-3.9030705767000002,0.12384906300000001,-0.4387824765,0.870896353
ecoli_00024,-4.1109985355,0.331211275,-0.5014988445,0.944128752
ecoli_00025,-4.5459922376,0.45053607100000004,-0.3205607625,1.237764186
ecoli_00026,-4.4083530157,0.47842165600000003,-0.4379327575,1.25160717
ecoli_00027,-5.6829207987,-0.692126778,-0.2423114855,0.910809206
ecoli_00028,-5.4285403304,-0.5425433540000001,-0.0037651465,0.9243399290000001
ecoli_00029,-11.7142125851,-1.996123319,-0.4654694775,0.186788106
ecoli_00030,-11.653051896200001,-1.785848974,-0.43944111550000003,0.171988375
ecoli_00031,-12.3982467551,-1.8074892990000002,-0.4703830375,0.8234752350000001
ecoli_00032,-11.9135513058,-1.394049818,-0.5477767715,0.862517603
ecoli_00033,-6.6593102559,-0.626250555,-0.1138213315,1.544721786
ecoli_00034,-4.7572961832,-0.17519245800000002,-0.7690503915,2.009821649
ecoli_00035,-8.2780856299,-1.412029783,-0.4569771945,0.542147531
ecoli_00036,-8.3374911776,-1.422407524,-0.48863086650000004,0.43983589300000003
ecoli_00037,-9.1123991931,-1.5029471810000001,-0.15130878650000001,1.249270518
ecoli_00038,-9.3695014655,-1.963624229,-0.0370312605,1.442754545
ecoli_00039,-0.6528028597000001,-0.47584092600000005,0.2421383325,-0.186487972
ecoli_00040,-0.6662672765000001,-0.283964351,-0.10322455650000001,0.095888161
ecoli_00041,-7.0222934121,-1.555607988,-0.3262068135,0.7692654760000001
ecoli_00042,-3.5346592771000003,-0.5822802930000001,-0.2279425125,0.559663349
ecoli_00043,0.5775185186,0.026533980000000002,-0.2989680575,0.10220061600000001
ecoli_00044,0.5808145375,-0.07621113900000001,-0.42941810150000004,0.085074327
ecoli_00045,1.0758896885,0.09951243100000001,-0.3860942235,-0.026612433
ecoli_00046,0.9765334347,-0.032921591,-1.0082853095,-0.13735696
ecoli_00047,-1.2414977651,-0.32497563300000004,-0.4544764705,0.065754505
ecoli_00048,-1.4133182517,-0.264022892,-0.16746230750000002,0.327071665
ecoli_00049,-4.5111232528,-0.42021508900000004,-0.8921578455,1.3958187930000001
