,ABUW_1007
SRX3737100,0.9444886734000001
SRX3737101,1.0768485896
SRX3737103,0.247193553
SRX3737104,0.1962928475
SRX3737105,-0.0625503456
SRX3737106,-0.0387957429
SRX3737107,-0.094946759
SRX3737108,-0.2851077366
SRX3737109,-0.21952014220000002
SRX3737110,0.4013291564
SRX3737111,0.059111082
Abaum_0017,-0.058226472
Abaum_0018,0.7067372327
Abaum_0019,0.8083967775
Abaum_0020,2.7250176532
Abaum_0021,1.7100018292999999
Abaum_0022,0.3767777396
Abaum_0023,0.058226472
Abaum_0024,2.5359069963
Abaum_0025,1.6058107868
Abaum_0026,0.35170099380000003
SRX3141471,0.0173138899
SRX3141472,-0.14746253680000002
SRX3141473,0.1648184268
SRX3141474,-0.01735589
SRX3141475,0.0727768616
SRX3141476,0.1891411304
SRX3141477,0.46424697460000003
SRX3141478,0.008850158700000001
SRX3141479,0.21370399750000002
SRX8944518,0.1956471581
SRX8944519,0.041139637900000005
SRX8944520,-0.2898782505
SRX8944521,0.348661315
SRX8944522,0.09423109240000001
SRX8944523,-0.1458341436
SRX5930997,0.08038705260000001
SRX5930998,-0.6077464261000001
SRX5930999,0.5273593735000001
SRX5931001,0.4106738055
SRX5931002,0.4029353942
SRX4488546,1.0794812881
SRX4488547,-0.405137411
SRX4488548,1.7019797646
SRX4488549,-0.6743438771
SRX4488550,1.6934480112
SRX4488551,1.872355038
SRX4488552,1.3163746848
SRX4488553,1.6900830717000002
SRX4488554,2.3137941456
SRX4488555,1.3631391163
SRX4488556,2.2197710367
SRX4488557,1.4433986575
SRX2568047,2.7642089321
SRX2568048,2.6958150946
SRX2568049,3.1697995762
SRX2568050,2.0639194975
SRX2568051,2.1920072706
SRX2568052,1.9850619819
SRX2568053,3.7973171572
SRX2568054,1.8908041266
SRX2568055,2.400792526
SRX2568056,1.858703726
SRX2568057,1.7170268160000002
SRX2568058,2.002500673
SRX2568059,0.48246865520000004
SRX2568060,0.10669160920000001
SRX2568061,0.8223835466
SRX2568062,0.0274056454
SRX2568063,-0.8610885399
SRX2568064,0.8336828945
Abaum_0001,-0.3334010255
Abaum_0002,-0.3704105258
Abaum_0003,0.2285895987
Abaum_0004,-0.1706746674
Abaum_0005,0.0748955176
Abaum_0006,-0.08764218330000001
Abaum_0007,0.32062957670000003
Abaum_0008,-0.35734602590000003
Abaum_0009,-0.0189979092
Abaum_0010,0.16822709930000002
Abaum_0011,-0.17526923090000002
Abaum_0012,0.17526923090000002
Abaum_0013,-0.3801654426
Abaum_0014,-0.28793047590000004
Abaum_0015,-0.1016011411
Abaum_0016,-0.10022939530000001
ERX1221046,0.080174013
ERX1221048,0.0671727671
ERX1221049,-0.1473467802
ERX1221050,0.3323512515
ERX1221052,0.5950345117
ERX1221053,0.2532782877
ABNM035,1.8905427760000002
ABNM036,-1.8905427760000002
ABNM037,1.000203285
ABNM038,1.774177587
ABNM041,1.28833993
ABNM042,0.647765404
ABNM019,-0.4398875427
ABNM020,0.4398875427
ABNM021,-0.7485689832
ABNM022,0.1554376928
ABNM023,-0.5931124855000001
ABNM024,0.0337182939
ABNM025,0.2988222753
ABNM026,0.073556406
ABNM027,-0.2788209995
ABNM028,0.2788209995
ABNM029,-0.3615085532
ABNM030,0.3778424014
ABNM031,0.1064389495
ABNM032,0.3092832274
ABNM033,0.2547955189
ABNM034,-0.180421154
ABNM001,-0.24909276630000002
ABNM002,0.24909276630000002
ABNM003,-0.9654003972
ABNM004,-0.8027218761
ABNM005,-2.0300321466
ABNM006,-1.4689140075
ABNM007,-1.1883130168
ABNM008,-1.1307104735
ABNM009,-0.9784691189
ABNM010,-0.6811734328
ABNM043,0.147141155
ABNM044,-0.147141155
ABNM045,-0.682317499
ABNM046,0.1812416
ABNM047,0.734271733
ABNM048,0.578390563
ABNM011,0.09811687100000001
ABNM012,-0.09811687100000001
ABNM013,0.49725490850000004
ABNM014,0.6594086573
ABNM015,0.5307642219
ABNM016,0.5969307129
ABNM017,0.8447229193
ABNM018,0.6719468874
