,A,NarP,NsrR
R2,,0.05875010939577752,3.2724889902580045e-05
xmin,,-2.3294870029999992,-0.8970826360000004
xmid,,0.041881353564234794,
xmax,,3.3566115678723563,5.797296702
ystart,,0.26985388648275926,0.5182855471163348
yend,,3.797444290018736,0.8890069685088713
control__wt_glc__1,0.0073262931535966,0.013805372000000204,0.020173296999999483
control__wt_glc__2,-0.0073262931535944,-0.013805371999999316,-0.020173297000000368
fur__wt_dpd__1,8.196199391356464,-0.6764180889999993,0.02132923399999953
fur__wt_dpd__2,8.653435199600686,-0.8038825889999996,-0.0926817420000008
fur__wt_fe__1,0.9496797481265944,-0.05291579899999999,-0.16230739300000074
fur__wt_fe__2,0.906152978320768,-0.14241751799999935,0.13387232699999976
fur__delfur_dpd__1,5.5112794305688455,-0.833438136999999,0.13012690299999985
fur__delfur_dpd__2,4.537585489230159,-0.9859630329999992,0.014325488999999969
fur__delfur_fe2__1,0.9251476904271422,-0.472726054999999,0.056326930999999185
fur__delfur_fe2__2,0.9160703564237216,-0.4264569919999994,0.10458706799999984
acid__wt_ph5__1,0.4585869125523013,0.2445666950000005,0.06713789499999923
acid__wt_ph5__2,0.6657000013016067,0.22695780200000026,0.18047799799999972
acid__delgadx_ph5__2,0.0342307276421877,0.14736857200000042,-0.1433996440000005
acid__delgadw_ph5__1,0.9770890145202296,0.4227118990000012,0.3132534259999993
acid__delgadw_ph5__2,0.3699446294381165,0.05747584900000114,0.06219739199999896
acid__delgade_ph5__1,0.2735911665687489,0.25074061100000034,0.08034080999999915
acid__delgade_ph5__2,0.4104046622309496,0.3533819650000005,0.2892667349999991
oxidative__wt_pq__1,1.283746139566497,0.28711822,1.942484969999998
oxidative__wt_pq__2,0.6711500244897599,-0.2460853709999986,0.7757423549999984
oxidative__deloxyr_pq__1,0.5305130527256101,0.5344758740000009,1.3521159439999997
oxidative__deloxyr_pq__2,0.2938836907502147,0.30342083499999983,1.0272337349999985
oxidative__delsoxr_pq__1,0.8628036980477161,-0.4556887319999987,0.3514178730000008
oxidative__delsoxr_pq__2,0.848856642706804,-0.5965014149999996,0.5156249030000009
oxidative__delsoxs_pq__1,1.4933633295892914,-0.258712770999999,0.9125774829999996
oxidative__delsoxs_pq__2,1.3964231719651925,-0.15700926999999965,0.8972209399999986
nac_ntrc__wt_csn__1,-0.0638596411589918,0.054424320999999054,0.4691148399999987
nac_ntrc__wt_csn__2,0.1398295279604073,0.08937470800000114,0.4731475499999984
nac_ntrc__wt_cytd__1,0.1305938119896138,-0.3652916689999994,-0.2829568170000005
nac_ntrc__wt_cytd__2,0.338102643506156,-0.3774979179999995,-0.10220717900000054
nac_ntrc__wt_gln__1,0.2503463092637845,0.152274782000001,0.2731468699999997
nac_ntrc__wt_gln__2,0.8819909892457616,0.16683992500000056,0.13873976999999904
nac_ntrc__bw_delnac_csn__1,0.4043505835411577,0.21849499700000047,0.9049030649999992
nac_ntrc__bw_delnac_csn__2,-0.8782783440704915,0.009574689999999995,0.8081028409999993
nac_ntrc__bw_delnac_cytd__1,0.7930902594372842,0.6608060740000008,0.5986212049999997
nac_ntrc__bw_delnac_cytd__2,0.5830959480428812,0.8232493740000013,0.8011400349999986
nac_ntrc__bw_delnac_gln__1,0.3921286107919794,0.4796237049999998,0.820466560999999
nac_ntrc__bw_delnac_gln__2,0.2869922551545322,0.24993073300000115,0.4735425289999995
nac_ntrc__bw_delnac_nh4__1,-0.0206519796003213,0.4986634430000008,-0.06351694100000049
nac_ntrc__bw_delnac_nh4__2,0.7308352031115622,0.5637561570000003,0.10809149499999916
misc__wt_no_te__1,0.250851074587219,-0.6860058059999989,0.5150649899999991
misc__wt_no_te__2,-0.5545809474168195,-0.3941259529999997,0.14068449099999913
misc__bw_delcbl__1,0.5350148777141723,0.5365929020000006,0.5520957099999997
misc__bw_delcbl__2,0.2184606942172375,0.4313851960000008,0.5220822149999993
misc__bw_delfabr__1,1.086511449624177,0.5464917110000007,0.0128728959999993
misc__bw_delfabr__2,0.6510697962329853,0.5413782020000006,0.18995862999999868
misc__bw_delfadr__1,-0.4231950800131857,0.3743767,0.3490431069999991
misc__bw_delfadr__2,-0.17307671581906,0.3004944870000008,0.743662539999999
misc__nitr_031__1,-1.4911943241140793,0.3854204370000005,0.7958288699999985
omics__wt_glu__1,0.5947445976250957,-0.2721270659999986,-0.3741063890000005
omics__wt_glu__2,-0.0281318435554468,-0.12186204799999968,-0.5305232790000005
omics__wt_gly__1,0.0173586924786071,-0.3417045269999992,-0.5405871990000009
omics__wt_gly__2,-0.0927123785449845,-0.29726122699999896,-0.7345762330000003
omics__wt_thr__1,1.5432814725503488,-0.7892132340000001,-0.8970826360000004
omics__wt_thr__2,0.6709391790876732,-0.6556876859999994,-0.6399405780000009
omics__bw_ac__1,-0.5594907751264473,0.15008310700000038,0.5708816009999991
omics__bw_ac__2,-0.0409346495663768,-0.2314886559999989,0.6523841449999992
omics__bw_fum__1,0.5804497843195582,0.4219559370000008,0.05078986199999935
omics__bw_fum__2,0.893293321044788,0.2004347640000015,0.4193140129999993
omics__bw_glc__1,0.8990841880206087,0.4604660230000022,0.3673096449999997
omics__bw_glc__2,0.7075157532969942,0.42824722000000026,0.4482287490000001
omics__bw_pyr__1,0.744949669096624,0.8415463890000012,1.1053329009999997
omics__bw_pyr__2,1.9687235997146448,0.8119360960000009,1.0749164799999995
