,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X
0,U01-Set001__USA300 LAC CA-MHB PreCulture,7.2895094914000005,0.07312317980211698,2.0,0.0,7.2378035951,5.0,7.3412153877,,
1,U01-Set001__USA300 LAC CA-MHB Control,6.368258218899999,0.019366530154074343,2.0,1.0,6.3545640141,6.0,6.3819524237,,
2,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.15,6.20459540245,0.05491525294785127,2.0,2.0,6.1657644547,7.0,6.2434263502,,
3,U01-Set001__USA300 LAC CA-MHB Nafcillin 0.5 ,6.41788233565,0.007196049147571826,2.0,3.0,6.4127939605,8.0,6.4229707108,,
4,U01-Set001__USA300 LAC CA-MHB Nafcillin 1,6.52525436095,0.022386301434470433,2.0,4.0,6.5094248554,9.0,6.5410838665,,
5,U01-Set000__USA300 TCH1516 CA-MHB Control,3.0820065218500003,0.23253618792070507,2.0,10.0,3.2464344372,29.0,2.9175786065000002,,
6,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.0625,2.7781393690000002,0.179233915120048,2.0,11.0,2.6514018522000002,30.0,2.9048768858000003,,
7,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 0.5,2.97070268455,0.03032453473861284,2.0,12.0,2.9492600004,31.0,2.9921453687,,
8,U01-Set001__USA300 LAC RPMI+10%LB PreCulture,6.77961445,0.2861564114269442,2.0,13.0,6.5772713110000005,14.0,6.981957589,,
9,U01-Set001__USA300 LAC RPMI+10%LB Control,4.1744700658500005,0.06502506604850412,2.0,15.0,4.1284904007,18.0,4.220449731,,
10,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.1,4.3127435062,0.023931747722180725,2.0,16.0,4.2958212051,19.0,4.3296658073,,
11,U01-Set001__USA300 LAC RPMI+10%LB Nafcillin 0.15,4.822069867650001,0.15630808654462766,2.0,17.0,4.9325963756,20.0,4.7115433597,,
12,U01-Set000__USA300 TCH1516 RPMI+10%LB Control,4.66402554035,0.2897684071225792,2.0,21.0,4.4591283347,24.0,4.868922746,,
13,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.031,3.9754123381,0.23324264918411128,2.0,22.0,4.140339797,25.0,3.8104848792,,
14,U01-Set000__USA300 TCH1516 RPMI+10%LB Nafcillin 0.0625,4.2204841559,0.4493731270216327,2.0,23.0,4.5382389413,26.0,3.9027293705,,
15,U01-Set000__USA300 TCH1516 CA-MHB PreCulture,6.3406831397,0.07695606144334804,2.0,27.0,6.3950992926,28.0,6.2862669868,,
16,U01-Set000__USA300 TCH1516 CA-MHB Nafcillin 1,3.4370957314,0.08513518594600818,2.0,32.0,3.3768960641,33.0,3.4972953987,,
17,U01-Set004__USA300 LAC CA-MHB Vancomycin 0,5.5257223693,0.12994122916742268,2.0,34.0,5.433840045,38.0,5.6176046936,,
18,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.65,5.5317261837,0.22931131946989838,2.0,35.0,5.3695785947,39.0,5.6938737727,,
19,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.7,5.47223116305,0.25708255596836316,2.0,36.0,5.2904463444,40.0,5.6540159817,,
20,U01-Set004__USA300 LAC CA-MHB Vancomycin 0.8,7.1856136349,0.02256623316951342,2.0,37.0,7.2015703714,41.0,7.1696568984,,
21,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0,5.47983229255,0.19765416337186575,2.0,42.0,5.3400696933,45.0,5.6195948918,,
22,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0.6,5.484809438599999,0.023652042442494477,2.0,43.0,5.5015339582,46.0,5.468084919,,
23,U01-Set004__USA300 LAC RPMI+10%LB Vancomycin 0.8,6.6641818032,0.04679940509758737,2.0,44.0,6.6972739799,47.0,6.6310896265,,
24,U01-Set003__USA300 TCH1516 CA-MHB Control,4.14327974125,0.20431290534022722,2.0,48.0,3.9988087004,52.0,4.2877507821,,
25,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.45,5.9112020826,0.46812155929907967,2.0,49.0,5.5801901536,53.0,6.2422140116,,
26,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.65,3.37373172205,0.06824624036135313,2.0,50.0,3.4219891014,54.0,3.3254743427,,
27,U01-Set003__USA300 TCH1516 CA-MHB Vancomycin 0.7,2.7864517824,0.06424724936701574,2.0,51.0,2.7410221167,55.0,2.8318814481,,
28,ICA-Set001__USA300 LAC RPMI+10%LB Control,3.90700316595,0.11260331292027902,2.0,56.0,3.8273805998,57.0,3.9866257321000003,,
29,ICA-Set001__USA300 LAC RPMI+10%LB 1.5mMIle,3.9699895934500002,0.06757352569836864,2.0,58.0,3.9222078952,59.0,4.0177712917,,
30,ICA-Set001__USA300 LAC RPMI+10%LB 4percentNaCl,4.7605154303,0.28665846572686854,2.0,60.0,4.9632135753,61.0,4.5578172853,,
31,ICA-Set001__USA300 LAC RPMI+10%LB 5.5pH,3.3159170947999996,0.08102950632697188,2.0,62.0,3.2586205813999998,63.0,3.3732136082,,
32,BK-Set001__USA300 TCH1516 THB 0ug-mL Antibiotic,6.90296508695,0.751791079641414,2.0,64.0,7.4345616574,65.0,6.3713685165000005,,
33,BK-Set001__USA300 TCH1516 THB 0.25ug-mL Linezolid,5.6516256431,0.4931734797039089,2.0,66.0,6.0003519549,67.0,5.3028993313,,
34,BK-Set001__USA300 TCH1516 THB 2.5 ug-mL Nafcillin,6.75400988855,1.0213809177986997,2.0,68.0,7.4762352617,69.0,6.0317845154,,
35,BK-Set001__USA300 TCH1516 THB 0.5ug-mL Vancomycin,6.69723777175,1.089969059915816,2.0,70.0,5.9265132582,71.0,7.4679622853,,
36,ICA-Set002__USA300 LAC CA-MHB 25mMNaCHO3,7.0486172261,0.11813217737755313,2.0,72.0,7.1321492898,73.0,6.9650851624,,
37,ICA-Set002__USA300 LAC CA-MHB 2gLglucose,5.5176162372499995,0.19364038811823683,2.0,74.0,5.3806918057,75.0,5.6545406688,,
38,ICA-Set002__USA300 LAC CA-MHB Control,5.8941048191,0.3235543708350351,2.0,76.0,6.1228923088,77.0,5.6653173294,,
