,ykiA
Cr_1,0.0021689054934692247
Cr_2,0.0021595397343857673
Cr_3,0.0039619865193721154
Cr_4,0.01278167967604929
Cr_5,0.016089971668911466
Cr_6,0.014004485000446593
Fe_1,-0.008304125592313475
Fe_2,-0.05225860548442034
Fe_3,-0.10665916272386967
Fe_4,-0.17165253833200514
Fe_5,-0.2428397482666628
Fe_6,-0.31042087475645913
Cd_1,0.0020539631856895807
Cd_2,0.006602693622927643
Cd_3,0.013008925128527363
Cd_4,0.016550471109063342
Cd_5,0.002709114650871147
Cd_6,0.0012774020868722743
Zn_1,-0.005724433347909778
Zn_2,-0.020416367523806087
Zn_3,-0.0288585951869195
Zn_4,-0.041587183453866486
Zn_5,-0.057393095910240874
Zn_6,-0.05875087276789199
Cu_1,0.0026744167216063612
Cu_2,0.009279744756049644
Cu_3,0.01128200979438792
Cu_4,0.013830266576514058
Cu_5,0.012842615314077387
Cu_6,0.015351475726779053
Pb_1,-0.004650018491671978
Pb_2,-0.002961732788224316
Pb_3,0.001377247857325376
Pb_4,-0.0010469466074103507
Pb_5,0.0017716438217418907
Pb_6,0.011047070097879648
