,xasA
Cr_1,0.0014403781958316193
Cr_2,0.0004169077477743655
Cr_3,0.0009088637478491838
Cr_4,0.007044427775280399
Cr_5,0.013751926578568779
Cr_6,0.014768005142612431
Fe_1,-0.005417446992611264
Fe_2,-0.02306268039871849
Fe_3,-0.04042369937677155
Fe_4,-0.057768736771857176
Fe_5,-0.06626310020087854
Fe_6,-0.0741267722829255
Cd_1,0.002649770266293345
Cd_2,0.002572100986316785
Cd_3,-0.004985889082361882
Cd_4,-0.019538766876869958
Cd_5,-0.037011766665405996
Cd_6,-0.045796374836539366
Zn_1,0.0009163467980323939
Zn_2,8.21144580738491e-05
Zn_3,0.006543887548360791
Zn_4,0.019532080705761446
Zn_5,0.0336175266908803
Zn_6,0.04227123202689485
Cu_1,0.0020868774149265146
Cu_2,0.007513192720748873
Cu_3,0.01386614519255074
Cu_4,0.01926522872406421
Cu_5,0.02524176275134433
Cu_6,0.033530758896300056
Pb_1,0.003182962366068021
Pb_2,0.008691819182845024
Pb_3,0.016734781089726737
Pb_4,0.02426332135669354
Pb_5,0.03672422523375729
Pb_6,0.04737749335975595
