,ycaC
Cr_1,-0.00651133245222965
Cr_2,-0.003633578625165782
Cr_3,0.0053659172103636965
Cr_4,0.022475233476489158
Cr_5,0.04236179155369235
Cr_6,0.062315234120226964
Fe_1,-0.01083192524700379
Fe_2,-0.030658777385818507
Fe_3,-0.06654120860879517
Fe_4,-0.10970080926233362
Fe_5,-0.14419903646624796
Fe_6,-0.1675017734010214
Cd_1,0.007853525549732348
Cd_2,0.015304000828488316
Cd_3,0.023851703849068973
Cd_4,0.03359827234613391
Cd_5,0.040978114287099285
Cd_6,0.04841076874408159
Zn_1,-8.538679647005604e-05
Zn_2,-0.0011986792938166227
Zn_3,0.0011676546915770595
Zn_4,0.014636297831806247
Zn_5,0.02289107456618368
Zn_6,0.034020799276355124
Cu_1,0.004873672394594197
Cu_2,0.016086636978915696
Cu_3,0.03365907763084304
Cu_4,0.0433098248586301
Cu_5,0.04556819432656496
Cu_6,0.049064572098840686
Pb_1,-0.00032381228547432965
Pb_2,0.0013018637575997207
Pb_3,0.011096054167283258
Pb_4,0.0268259321208182
Pb_5,0.03593639151023141
Pb_6,0.04369578036982937
