,fepB
Cr_1,0.002294570974187883
Cr_2,0.007267494180446678
Cr_3,0.01049896093906644
Cr_4,0.01174260152946017
Cr_5,0.010395165638686787
Cr_6,0.005261682316697184
Fe_1,0.0068548416393785895
Fe_2,0.022113762384779717
Fe_3,0.019331220261900667
Fe_4,-0.005434414342310386
Fe_5,-0.02682532867419983
Fe_6,-0.04620565930550585
Cd_1,0.008381531833086934
Cd_2,0.01806757635246518
Cd_3,0.03019801824852773
Cd_4,0.04315691095249916
Cd_5,0.053904022478066686
Cd_6,0.06981145489502208
Zn_1,0.006042175580363598
Zn_2,0.03409407382349849
Zn_3,0.0754501942854764
Zn_4,0.10644616264797677
Zn_5,0.14375002378855242
Zn_6,0.1686741405078072
Cu_1,-0.005001929282746945
Cu_2,0.005132373650437062
Cu_3,0.02091361225135244
Cu_4,0.03946331171318189
Cu_5,0.046587453562182496
Cu_6,0.04667560674593005
Pb_1,-0.0063913258239146654
Pb_2,-0.008764774417429202
Pb_3,-0.010452995363236527
Pb_4,-0.013377737857062023
Pb_5,-0.015932465179757743
Pb_6,-0.012873133303437671
