,ygdQ
Cr_1,-0.0027523429987117314
Cr_2,-0.0037345621362151
Cr_3,-0.005343408714448934
Cr_4,-0.0076034931146327705
Cr_5,-0.011690586304810888
Cr_6,-0.015513249033586612
Fe_1,-0.0035260921871525094
Fe_2,-0.010090514123983705
Fe_3,-0.016402632384117582
Fe_4,-0.026069850270676057
Fe_5,-0.029467095959423775
Fe_6,-0.02977779963238205
Cd_1,0.02585615693049863
Cd_2,0.057399861286951015
Cd_3,0.09111624608786008
Cd_4,0.12909687920978752
Cd_5,0.16542984029458307
Cd_6,0.20354225727802064
Zn_1,-0.0009923963120490216
Zn_2,0.007458448418139391
Zn_3,0.028821592626641926
Zn_4,0.054869167919003065
Zn_5,0.07439781894219095
Zn_6,0.08328480860417459
Cu_1,0.003314045769814344
Cu_2,0.006835144866640964
Cu_3,0.00791131091997347
Cu_4,0.011245513836174295
Cu_5,0.01723914883684624
Cu_6,0.02506457852048984
Pb_1,0.0075632415320456515
Pb_2,0.01569091836223706
Pb_3,0.027465745114337924
Pb_4,0.03883575398100441
Pb_5,0.054565879925329734
Pb_6,0.07344336865956785
