,ptrB
Cr_1,-0.004095171044360967
Cr_2,-0.012334526167269023
Cr_3,-0.017315321762503343
Cr_4,-0.01561471670920644
Cr_5,-0.012990534286192807
Cr_6,-0.013117731726675477
Fe_1,-0.007510813448083564
Fe_2,-0.02198175087249242
Fe_3,-0.03531225844912001
Fe_4,-0.05507978284302558
Fe_5,-0.06838595859948812
Fe_6,-0.07286827430320639
Cd_1,0.002914891866927375
Cd_2,0.00603867844595269
Cd_3,0.007929638516097445
Cd_4,0.009462374347289212
Cd_5,0.006204857441142595
Cd_6,0.007640860528699756
Zn_1,-0.0018594619613520344
Zn_2,-0.007568546004498637
Zn_3,-0.0052450944187176
Zn_4,-0.0038936556952639968
Zn_5,-0.003791861347451
Zn_6,-0.009974745742914895
Cu_1,-0.011261048569904616
Cu_2,-0.01575240462748059
Cu_3,-0.01770114171484924
Cu_4,-0.021069137885486575
Cu_5,-0.021775871869977502
Cu_6,-0.023944801412698613
Pb_1,0.027592727129459985
Pb_2,0.04084202038053872
Pb_3,0.05248169627037532
Pb_4,0.07772863902102985
Pb_5,0.08858205057708306
Pb_6,0.08925357219927063
