,torR
Cr_1,0.001181454149066461
Cr_2,0.0015619754226993165
Cr_3,0.002528032595668093
Cr_4,0.0045965371122621435
Cr_5,0.004116589961494431
Cr_6,0.004117626319193777
Fe_1,-0.009099908628876977
Fe_2,-0.015952536163045098
Fe_3,-0.011769759941287641
Fe_4,-0.0071989203352792784
Fe_5,-0.0003882920185611114
Fe_6,0.005883518021602067
Cd_1,-0.001226228200298998
Cd_2,-0.00041458753791679824
Cd_3,0.00018901559354804451
Cd_4,0.001465426358071888
Cd_5,-0.0008546091021049388
Cd_6,0.0009916856554959272
Zn_1,-0.007981788634477684
Zn_2,-0.01329772338406853
Zn_3,0.0040739608204297725
Zn_4,0.031119349388111464
Zn_5,0.05402845594298967
Zn_6,0.06939333603862616
Cu_1,0.00455295673556817
Cu_2,0.008480463284997651
Cu_3,0.016049845419376464
Cu_4,0.02399268177908451
Cu_5,0.03201402430861347
Cu_6,0.041329659972775865
Pb_1,-0.0011066346230477735
Pb_2,0.00048635962654171484
Pb_3,0.004068316553180088
Pb_4,0.005599688582099667
Pb_5,0.002288599620936189
Pb_6,0.004261587362840623
