,yjjL
Cr_1,0.004873944464819692
Cr_2,0.014780030667083962
Cr_3,0.017145966434476467
Cr_4,0.015580877415347891
Cr_5,0.015345926431458629
Cr_6,0.01646171940146039
Fe_1,-0.008786337282522995
Fe_2,-0.012398239986127829
Fe_3,-0.006005479737365974
Fe_4,0.0012151460768125375
Fe_5,0.012963854721603328
Fe_6,0.02934402792797937
Cd_1,0.00040393004655520873
Cd_2,0.003516768133386503
Cd_3,0.0020041285148404194
Cd_4,0.0005259115493811634
Cd_5,-0.003697760637345318
Cd_6,-0.0035976787956208006
Zn_1,0.0001712603564022654
Zn_2,-0.0039716748717405605
Zn_3,-0.012576177637536422
Zn_4,-0.02554837997828255
Zn_5,-0.040531538689754
Zn_6,-0.04842136855530069
Cu_1,0.00017349374666798033
Cu_2,0.005407976683173678
Cu_3,0.007634706358700677
Cu_4,0.007932185734951797
Cu_5,0.007959790263324567
Cu_6,0.01332331970731728
Pb_1,0.007730540859470802
Pb_2,0.018007111494157027
Pb_3,0.022232972855727368
Pb_4,0.028707802145284633
Pb_5,0.031515029332343195
Pb_6,0.03832081669416367
