,ydjL
Cr_1,0.011047322537583256
Cr_2,0.019942447894191338
Cr_3,0.01842541472658853
Cr_4,0.023473887214576758
Cr_5,0.031939196656489005
Cr_6,0.026232360087675217
Fe_1,-0.03644825546973268
Fe_2,-0.07638031970138197
Fe_3,-0.09439902934000108
Fe_4,-0.10861805957179398
Fe_5,-0.1244730793750843
Fe_6,-0.14607691697226
Cd_1,0.00025651793157284057
Cd_2,0.008510937706130322
Cd_3,0.03385378939069476
Cd_4,0.046397701963285236
Cd_5,0.04826143791181449
Cd_6,0.05909532886877705
Zn_1,-0.015513642629553076
Zn_2,-0.009230896596600448
Zn_3,-0.0057452691054678635
Zn_4,-0.0041974402201326285
Zn_5,0.011929457582007441
Zn_6,0.03063969980270825
Cu_1,0.0015934141986973932
Cu_2,0.02228349510411766
Cu_3,0.024484746366228903
Cu_4,0.049806929485152064
Cu_5,0.05722988854705841
Cu_6,0.07101595347968373
Pb_1,0.0019426464047998
Pb_2,0.01635671042251636
Pb_3,0.03146047885209842
Pb_4,0.05079660282075273
Pb_5,0.06383980698758496
Pb_6,0.0534181994251288
