,glnA
Cr_1,0.0018322272405762
Cr_2,0.0022942857834727898
Cr_3,-0.006210691073612494
Cr_4,-0.009117659751502364
Cr_5,-0.005193232771703414
Cr_6,-0.001752639589056031
Fe_1,-0.027567182677853973
Fe_2,-0.036743962021399255
Fe_3,-0.030264446457747743
Fe_4,-0.010458328000108229
Fe_5,0.011914545603971032
Fe_6,0.016841153295814742
Cd_1,0.0024878657022982453
Cd_2,0.0025268474206088247
Cd_3,0.0026385105560579225
Cd_4,-0.0030660112122027922
Cd_5,-0.01305178517715709
Cd_6,-0.02170206979347393
Zn_1,0.014617519378525885
Zn_2,0.02615899477124895
Zn_3,0.02694721052933317
Zn_4,0.02269370818619725
Zn_5,0.029134754007242157
Zn_6,0.02994859176044498
Cu_1,0.012589162463117384
Cu_2,0.0222052151925754
Cu_3,0.02690795767482081
Cu_4,0.04521791593348705
Cu_5,0.05303009798593866
Cu_6,0.06568330369343446
Pb_1,0.008005832098609528
Pb_2,0.024874283332027042
Pb_3,0.023198388207362638
Pb_4,0.0174287901588799
Pb_5,0.021371565911664385
Pb_6,0.019454776861249915
