,gmr
Cr_1,0.0006593349208924938
Cr_2,0.005302553328319526
Cr_3,0.010018918287136663
Cr_4,0.018809308158957684
Cr_5,0.028150623135516743
Cr_6,0.03130726483368471
Fe_1,-0.012391351338429649
Fe_2,-0.036173131961699134
Fe_3,-0.05221150225239361
Fe_4,-0.07162824300927208
Fe_5,-0.0786875272484086
Fe_6,-0.07628038588292974
Cd_1,0.00012406501908738177
Cd_2,-0.0005572295853483493
Cd_3,-0.004588130835042329
Cd_4,-0.008870504977611677
Cd_5,-0.018187946581283924
Cd_6,-0.018444456346730698
Zn_1,-0.0019826485531811407
Zn_2,-0.016410145726002242
Zn_3,-0.02020782262389337
Zn_4,-0.015083716586597096
Zn_5,-0.016774314087127092
Zn_6,-0.023582862061619747
Cu_1,0.002837177162333443
Cu_2,0.01068363070197466
Cu_3,0.015760681199134294
Cu_4,0.0229657679074788
Cu_5,0.028494407160004245
Cu_6,0.030049107091455456
Pb_1,0.014437406139877441
Pb_2,0.028002075519365184
Pb_3,0.03571957027633642
Pb_4,0.04315774442911916
Pb_5,0.050944905256139185
Pb_6,0.05873370012080111
