,ydcR
Cr_1,-0.000914402174846002
Cr_2,0.008294022491948166
Cr_3,0.015883589986122094
Cr_4,0.0240918206282015
Cr_5,0.024334497660379897
Cr_6,0.021939878658573442
Fe_1,-0.019606578054320502
Fe_2,-0.04230454118087525
Fe_3,-0.05082772082969848
Fe_4,-0.06633747117777558
Fe_5,-0.04931100499307243
Fe_6,-0.011968665175425072
Cd_1,0.0045455964147288865
Cd_2,0.011706162402824256
Cd_3,0.011493625883660308
Cd_4,0.015807074870865412
Cd_5,0.016905829814403497
Cd_6,0.01926790862308608
Zn_1,-0.04110455077469246
Zn_2,-0.043565807015116934
Zn_3,-0.023920602036924057
Zn_4,-0.028818651726269538
Zn_5,-0.02912677202340758
Zn_6,-0.0331162129952579
Cu_1,-0.0015098799942138853
Cu_2,0.0021240571852609857
Cu_3,0.010345077996789477
Cu_4,0.0158572541399341
Cu_5,0.022630996408986397
Cu_6,0.02720090429642064
Pb_1,0.0042491319801553325
Pb_2,0.012885705046600632
Pb_3,0.025000380773199247
Pb_4,0.039871150784146894
Pb_5,0.0621962264309948
Pb_6,0.08875738611702885
