,deoC
Cr_1,-0.004836422159603988
Cr_2,-0.0072874066238585965
Cr_3,-0.0077668370761381795
Cr_4,-0.010872248732191824
Cr_5,-0.011565823858486179
Cr_6,-0.011478254876257627
Fe_1,-0.004580715020172528
Fe_2,0.00877139628746163
Fe_3,0.02540285107194429
Fe_4,0.040258574835436364
Fe_5,0.05226606669233014
Fe_6,0.06260880844933557
Cd_1,-0.0008905214484658576
Cd_2,-0.00037222751471845816
Cd_3,-0.0007412499654301416
Cd_4,-0.000652820617258555
Cd_5,-0.0041426429957282795
Cd_6,0.0005782925526360273
Zn_1,0.0008110874106900421
Zn_2,0.01438025072291386
Zn_3,0.0333992086826004
Zn_4,0.05119233196746937
Zn_5,0.06938841252242435
Zn_6,0.08780564755419726
Cu_1,0.0022335464717688725
Cu_2,0.004262176578344885
Cu_3,0.01006851236801541
Cu_4,0.018563846798381158
Cu_5,0.0271751061923445
Cu_6,0.031030073493002925
Pb_1,-0.0033555704333997037
Pb_2,0.0009969758724506699
Pb_3,0.011079014077171764
Pb_4,0.0164696842280064
Pb_5,0.019815701386553416
Pb_6,0.02179044166634004
