,yeiM
Cr_1,-0.015726009214399282
Cr_2,-0.022350464011881014
Cr_3,-0.01764001083515368
Cr_4,-0.018462334182565918
Cr_5,-0.015530927722450603
Cr_6,-0.013497781905273084
Fe_1,-0.02554356930617692
Fe_2,-0.06473334587864323
Fe_3,-0.0771851379419768
Fe_4,-0.091815076748498
Fe_5,-0.08007883876016231
Fe_6,-0.05833539046710244
Cd_1,0.004330143381496975
Cd_2,0.0069677014364414565
Cd_3,0.013568857338620415
Cd_4,0.021749592083795385
Cd_5,0.020580425811837697
Cd_6,0.027843111458181937
Zn_1,0.01350173641065383
Zn_2,0.025413119056030515
Zn_3,0.03877162300594668
Zn_4,0.049074751451473685
Zn_5,0.07815048621350189
Zn_6,0.09946556691395646
Cu_1,-0.0016611226328405225
Cu_2,0.003241181009477029
Cu_3,0.011651661787985516
Cu_4,0.02003273831706561
Cu_5,0.022846412681845056
Cu_6,0.025875739378059908
Pb_1,0.0030846688773221807
Pb_2,0.0014449715181691508
Pb_3,0.014148095668888569
Pb_4,0.029359959916519438
Pb_5,0.04043042243116576
Pb_6,0.05248263834778685
