,USA300HOU_RS14800
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,0.0
USA300_LAC_U01-Set001_CAMHB_Control_1,0.0
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,0.0
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,0.0
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,0.0
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,0.0
USA300_LAC_U01-Set001_CAMHB_Control_2,0.0
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,0.0
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,0.0
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,0.0
USA300_TCH1516_U01-Set000_CAMHB_Control_1,12.9035474429
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,12.6852445634
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,12.5179640866
USA300_LAC_U01-Set001_R10LB_PreCulture_1,0.0
USA300_LAC_U01-Set001_R10LB_PreCulture_2,0.0
USA300_LAC_U01-Set001_R10LB_Control_1,0.0
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,0.0
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,0.0
USA300_LAC_U01-Set001_R10LB_Control_2,0.0
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,0.0
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,0.0
USA300_TCH1516_U01-Set000_R10LB_Control_1,12.6786128065
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,12.6637421245
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,12.9101966265
USA300_TCH1516_U01-Set000_R10LB_Control_2,12.689116602
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,12.6719195799
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,12.6884582663
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,13.1991484441
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,13.2214073492
USA300_TCH1516_U01-Set000_CAMHB_Control_2,12.689907271
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,12.7317916556
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,12.6978128494
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,12.9164525385
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,12.9238225212
USA300_LAC_U01-Set004_CAMHB_Control_1,0.0
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,0.0
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,0.0
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,0.0
USA300_LAC_U01-Set004_CAMHB_Control_2,0.0
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,0.0
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,0.0
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,0.0
USA300_LAC_U01-Set004_R10LB_Control_1,0.0
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,0.0
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,0.0
USA300_LAC_U01-Set004_R10LB_Control_2,0.0
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,0.0
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,0.0
USA300_TCH1516_U01-Set003_CAMHB_Control_2,13.437919303
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_2,12.4540262982
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_2,12.5878450428
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_2,13.1897476258
USA300_TCH1516_U01-Set003_CAMHB_Control_3,12.426298875
USA300_TCH1516_U01-Set003_CAMHB_0.45ug/mLVancomycin_3,12.4044671671
USA300_TCH1516_U01-Set003_CAMHB_0.65ug/mLVancomycin_3,12.852523031
USA300_TCH1516_U01-Set003_CAMHB_0.7ug/mLVancomycin_3,13.3254735924
USA300_LAC_ICA-Set001_R10LB_Control_1,0.0
USA300_LAC_ICA-Set001_R10LB_Control_2,0.0
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_1,0.0
USA300_LAC_ICA-Set001_R10LB_1.5mMIle_2,0.0
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_1,0.0
USA300_LAC_ICA-Set001_R10LB_4percentNaCl_2,0.0
USA300_LAC_ICA-Set001_R10LB_5.5pH_1,0.0
USA300_LAC_ICA-Set001_R10LB_5.5pH_2,0.0
USA300_TCH1516_BK-Set001_THB_Control_1,13.9156846017
USA300_TCH1516_BK-Set001_THB_Control_2,13.6359889895
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_1,12.7932273941
USA300_TCH1516_BK-Set001_THB_0.25ug/mLLinezolid_2,12.6068493218
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_1,12.8882815683
USA300_TCH1516_BK-Set001_THB_2.5ug/mLNafcillin_2,13.1945894815
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_1,13.2977827899
USA300_TCH1516_BK-Set001_THB_0.5ug/mLVancomycin_2,13.4737214488
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_1,0.0
USA300_LAC_ICA-Set002_CAMHB_25mMNaCHO3_2,0.0
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_1,0.0
USA300_LAC_ICA-Set002_CAMHB_2gLglucose_2,0.0
USA300_LAC_ICA-Set002_CAMHB_Control_1,0.0
USA300_LAC_ICA-Set002_CAMHB_Control_2,0.0
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_1,0.0
USA300_LAC_ICA-Set002_R10LB_25ugmLadenine_2,0.0
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_1,0.0
USA300_LAC_ICA-Set002_R10LB_25ugmLguanine_2,0.0
USA300_SNFM1_ICA-Set002_CAMHB_Control_1,13.0749455734
USA300_SNFM1_ICA-Set002_CAMHB_Control_2,13.2610490351
USA300_SNFM1_ICA-Set002_R10LB_Control_1,13.2284598589
USA300_SNFM1_ICA-Set002_R10LB_Control_2,13.1899831638
USA300_SNFR19_ICA-Set002_CAMHB_Control_1,0.2767630209
USA300_SNFR19_ICA-Set002_CAMHB_Control_2,0.0
USA300_SNFR19_ICA-Set002_R10LB_Control_1,0.0
USA300_SNFR19_ICA-Set002_R10LB_Control_2,0.0
USA300_TCH1516_ICA-Set002_CAMHB_Control_1,12.7424919257
USA300_TCH1516_ICA-Set002_CAMHB_Control_2,12.8762788121
USA300_TCH1516_ICA-Set002_R10LB_Control_1,10.9464901074
USA300_TCH1516_ICA-Set002_R10LB_Control_2,10.9873412541
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_2,0.0
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_1,0.0
USA300_LAC_ICA-Set002_R10LBnoGlu_1gLmaltose_1,0.0
USA300_LAC_ICA-Set002_CAMHB_0.0195ug/mLMupirocin_2,0.0
USA300_TCH1516_ICA-Set003_250nMParaquat_1,13.4121103944
USA300_TCH1516_ICA-Set003_250nMParaquat_2,13.4831334765
USA300_TCH1516_ICA-Set003_2gLGalactose_1,12.968758144
USA300_TCH1516_ICA-Set003_2gLGalactose_2,13.1710953236
USA300_TCH1516_ICA-Set003_2gLPyruvate_1,13.8138280675
USA300_TCH1516_ICA-Set003_2gLPyruvate_2,13.4611147226
USA300_TCH1516_ICA-Set003_Control_1,13.0863091588
USA300_TCH1516_ICA-Set003_Control_2,13.3593842474
USA300_TCH1516_ICA-Set003_StationaryPhase_1,12.3581336647
USA300_TCH1516_ICA-Set003_StationaryPhase_2,12.1319694026
