,A,MalT
R2,,0.531861910869895
xmin,,-5.306200898499999
xmid,,-1.4591585075613065
xmax,,3.0945396699922405
ystart,,-7.411014420819572
yend,,14.050941485569936
control__wt_glc__1,0.071696818996146,-0.05783946850000099
control__wt_glc__2,-0.0716968189961374,0.0578394685000001
fur__wt_dpd__1,-8.274650837958704,-2.1033749985000005
fur__wt_dpd__2,-8.217183526517966,-2.2653718755
fur__wt_fe__1,-2.1627921282259805,-0.3894197744999994
fur__wt_fe__2,-1.0280050274755863,-0.2387886395000001
fur__delfur_dpd__1,-8.899454192642704,-1.835499604499999
fur__delfur_dpd__2,-9.265488052349978,-1.6170108725
fur__delfur_fe2__1,-0.5702623472064876,-0.022424702499999505
fur__delfur_fe2__2,-0.4844294577802275,-0.09627322649999924
acid__wt_ph5__1,-4.161284110535331,-0.6365078694999989
acid__wt_ph5__2,-4.184346297069528,-0.6296238425
acid__delgadx_ph5__2,-3.93170889470714,-0.4574500334999998
acid__delgadw_ph5__1,-2.902334312755396,-0.4512488004999993
acid__delgadw_ph5__2,-2.8428884559137377,-0.5335636485000004
acid__delgade_ph5__1,-4.152619607927007,-0.5354207894999989
acid__delgade_ph5__2,-3.8550069328045127,-0.4987644624999996
oxidative__wt_pq__1,-4.855139191365726,-2.222427454499999
oxidative__wt_pq__2,-4.575705588198123,-2.0391392255
oxidative__deloxyr_pq__1,-4.494994932457365,-1.6900098375
oxidative__deloxyr_pq__2,-4.550186633905173,-1.6655791964999995
oxidative__delsoxr_pq__1,-7.295462481990829,-1.9702154144999997
oxidative__delsoxr_pq__2,-7.223711408211454,-2.0743159534999998
oxidative__delsoxs_pq__1,-5.424424857642781,-2.0923540985000004
oxidative__delsoxs_pq__2,-5.2406800405032845,-2.0854833575
nac_ntrc__wt_csn__1,-7.259396984464318,-1.2268169544999994
nac_ntrc__wt_csn__2,-7.442774736204971,-1.1808176525
nac_ntrc__wt_cytd__1,-5.925069060786487,-0.7989961514999999
nac_ntrc__wt_cytd__2,-6.181328958885104,-0.8092676254999995
nac_ntrc__wt_gln__1,-8.591003375027125,-0.9797361035000004
nac_ntrc__wt_gln__2,-8.421396145416105,-1.009404099499999
nac_ntrc__bw_delnac_csn__1,-8.117804090442817,-1.9012197535000004
nac_ntrc__bw_delnac_csn__2,-7.504734493410689,-1.9351370434999997
nac_ntrc__bw_delnac_cytd__1,-8.362427985652275,-0.8314854425
nac_ntrc__bw_delnac_cytd__2,-8.086547653641762,-0.942661994499999
nac_ntrc__bw_delnac_gln__1,-9.841100001542346,-1.4921702514999993
nac_ntrc__bw_delnac_gln__2,-9.82270314865991,-1.3642186964999992
nac_ntrc__bw_delnac_nh4__1,-2.590247929556571,-0.09932724449999952
nac_ntrc__bw_delnac_nh4__2,-2.548691808242222,-0.1901251094999994
misc__wt_no_te__1,-4.663816066965255,-0.7209696235000003
