,yncD
Cr_1,0.021173927157187862
Cr_2,0.029801272866513632
Cr_3,0.06724637959173968
Cr_4,0.10461966736810713
Cr_5,0.13909815801083414
Cr_6,0.18334313770365135
Fe_1,0.0034190330391713547
Fe_2,0.12444120817735793
Fe_3,0.4080885722055697
Fe_4,5.329609513025259
Fe_5,0.08806107188065569
Fe_6,0.1161229704251798
Cd_1,0.10243691149579076
Cd_2,0.28179791085328504
Cd_3,0.2316934944787769
Cd_4,0.3559577141512168
Cd_5,0.44351403516906795
Cd_6,0.535108622585472
Zn_1,-0.00047028878675385653
Zn_2,0.008010583572810244
Zn_3,0.036213212796819536
Zn_4,0.06286245946369154
Zn_5,0.08155657034382227
Zn_6,0.09845288884700024
Cu_1,-0.0043840057838414655
Cu_2,-0.0064843166356571644
Cu_3,0.001774803919006962
Cu_4,0.006318295653296167
Cu_5,0.0052889497052745205
Cu_6,0.003238458602769122
Pb_1,0.0012274600658080937
Pb_2,0.0001736790256597905
Pb_3,0.003134450935373279
Pb_4,0.004269363302109597
Pb_5,-0.001035757888145333
Pb_6,0.0013705275079504216
