,U139
Cr_1,0.0010358127733032787
Cr_2,0.004119589518000256
Cr_3,0.012319634952367313
Cr_4,0.01907603664233332
Cr_5,0.022349086725870076
Cr_6,0.02261849129658512
Fe_1,-0.00648051020186196
Fe_2,0.07701342868791464
Fe_3,0.0748881997307673
Fe_4,0.011452645953214671
Fe_5,-0.02997276699414961
Fe_6,-0.00688778396874159
Cd_1,0.001963210469383827
Cd_2,0.004744532562401161
Cd_3,0.007419915158999155
Cd_4,0.01044167536163782
Cd_5,0.010745038607874468
Cd_6,0.014224404280956813
Zn_1,0.014774389306248603
Zn_2,0.046444044158310965
Zn_3,0.11921716204593714
Zn_4,0.1336687335214777
Zn_5,0.14537457861343925
Zn_6,0.1709672444646942
Cu_1,-0.0010858522074828065
Cu_2,0.00037544575730395183
Cu_3,0.009870905233201856
Cu_4,0.011672105947198802
Cu_5,0.013236423341310413
Cu_6,0.017704598731700483
Pb_1,-0.0023865686002726987
Pb_2,-0.001388806954847806
Pb_3,0.0033423803515303828
Pb_4,0.008747321468988689
Pb_5,0.018702211691899482
Pb_6,0.02919092700157125
