,fecI
Cr_1,0.010986323893237277
Cr_2,0.015248346205177291
Cr_3,0.02143406778606209
Cr_4,0.029239674396912968
Cr_5,0.022312628108525998
Cr_6,0.030438729322862318
Fe_1,0.004446960534407023
Fe_2,-0.004100427453427757
Fe_3,-0.016284247731547456
Fe_4,-0.0432076880945449
Fe_5,-0.08328726406939728
Fe_6,-0.11841638385249445
Cd_1,0.0011879867904122901
Cd_2,0.007679542478920802
Cd_3,0.02213998904418291
Cd_4,0.028797424779046062
Cd_5,0.027386787018604714
Cd_6,0.0281691725410467
Zn_1,0.0015386051278379635
Zn_2,0.012126619699817315
Zn_3,0.029309877621832858
Zn_4,0.05713078452428692
Zn_5,0.07900255207700257
Zn_6,0.08962106561811096
Cu_1,0.005307633755294638
Cu_2,0.013567742162898192
Cu_3,0.02596352984741813
Cu_4,0.04204802008911064
Cu_5,0.060076795499521135
Cu_6,0.07379063580320322
Pb_1,0.002500690726271643
Pb_2,0.002302242300498064
Pb_3,-0.0028124733198602032
Pb_4,0.00403785519374509
Pb_5,0.008898272696952963
Pb_6,0.00977346733583363
