,rpoE
Cr_1,0.0028991315023059387
Cr_2,-0.0017145591062524804
Cr_3,0.0067576412929808176
Cr_4,0.016175432744565836
Cr_5,0.028307702522721693
Cr_6,0.03357915001180753
Fe_1,-0.022280313708863752
Fe_2,-0.050310373008972335
Fe_3,-0.053397410336000664
Fe_4,-0.06927969001748595
Fe_5,-0.06625626283368664
Fe_6,-0.059953179316426325
Cd_1,0.003175038606213855
Cd_2,0.010222017067761295
Cd_3,0.01589889352201983
Cd_4,0.022520300147097074
Cd_5,0.022854294287158804
Cd_6,0.027752753187624025
Zn_1,-0.10509653345829656
Zn_2,-0.11693349657758198
Zn_3,-0.009718751302781437
Zn_4,0.056618109407144464
Zn_5,0.3380935633782066
Zn_6,0.8631770263201121
Cu_1,0.00867751275925288
Cu_2,0.02032606161873951
Cu_3,0.031167813898217312
Cu_4,0.03714888372546592
Cu_5,0.038559410548847296
Cu_6,0.03622484374153706
Pb_1,0.003163063044227156
Pb_2,0.00654989836155228
Pb_3,0.00876039502298263
Pb_4,0.014029109454356077
Pb_5,0.01971126649120784
Pb_6,0.021412351019538638
