,A,PhoB,ArcA
R2,,0.13370805295005195,0.049276452602964205
xmin,,-5.282633958,-3.6017898952
xmid,,-1.204039628919745,1.3235341019764588
xmax,,6.6003753077,3.7109145168
ystart,,-4.519608550359858,-1.4181351762161105
yend,,15.440575068612855,11.471193863689896
SRX1125282,0.3200301224,0.3736209963,0.1536251284
SRX1125283,1.0284840451,0.3092767386,-0.1085541986
SRX1125284,7.651470699,0.1071695153,-0.269085791
SRX1125285,16.7649402688,-0.0354846045,0.0131235692
SRX1125286,19.9867428095,-0.004834169100000001,0.26443002660000003
SRX1125287,19.7884021022,-0.2768318768,-0.1415413156
SRX1125288,-0.6981803682000001,0.1209835694,-0.1227035083
SRX1125289,3.8219646402,-0.3438789714,-0.4182880135
SRX1125290,12.82738572,0.045306833000000005,-0.1456535487
SRX1125291,19.2253546998,0.0237810422,0.0864050615
SRX1125292,21.0338541301,0.1683480255,0.326354303
SRX1125293,19.0950510653,0.48406726390000004,0.2809830862
SRX1125294,0.3781502458,-0.4946045657,-0.0309216201
SRX1125295,1.7897043884000001,0.2967492266,-0.0305290823
SRX1125296,7.5458972061,0.37314838110000004,-0.30555163100000005
SRX1125297,17.2254760343,0.21336745340000002,0.0006214416
SRX1125298,20.1492252306,0.2474174562,0.6068628834
SRX1125299,19.7620837447,0.414768939,0.5516321501
SRX5694250,-0.8819232561,0.5690507049,0.49107579710000004
SRX5694251,6.2736121623,0.2523477458,-0.9538123343
SRX5694252,2.3909129,0.2758994782,0.3631602573
SRX5694253,0.6818530468,0.0245192425,-0.17749356630000002
SRX5694254,2.0671789823,0.9713270068000001,-0.2571254471
SRX5694255,2.3249702792,0.0085838434,-0.5795873771
SRX5694256,-1.2765139422,0.0307001067,-0.6394832572
SRX5694257,-1.4881147146,0.1898039424,-0.5994008193
SRX5694258,-1.5102295021,0.340787811,-0.8093510237
SRX5694259,7.0371165654,-0.2040500074,-1.223874242
SRX5694260,0.07371867800000001,0.2741072185,-0.20132201460000002
SRX5694261,2.2871789884,0.8370211807,-0.38609345780000004
SRX5694262,1.0754472457,-0.5995836873,1.2331627263
SRX5694263,-1.8297320370999999,0.058267324200000005,-0.4496263185
SRX5694264,2.5033180402,-0.0433894549,-0.5000365137
SRX5694265,-6.3250528858,-0.2616926122,-0.9224545732
SRX5694267,1.1608986823,0.173810756,-0.31040230480000003
SRX5694268,-0.41532805440000004,-0.22045426610000002,-0.1547312355
SRX5694269,-0.9635901818,-0.22763794780000002,-0.7734435138
SRX5694271,1.3361093974,0.10388259130000001,-0.2452190206
SRX5694273,-0.7517244853,-0.7833564989,-0.6604458461
SRX5694274,-2.3790821529,-0.5554870417000001,-0.36638296740000004
SRX5694275,-3.1650282164,-0.9835943254,-0.6634625427
SRX5694276,4.8805191715,-0.4632936776,-0.7503258015000001
SRX5694277,-0.6628098992,0.0722413033,-0.1047583445
SRX5694278,2.1432269954,-0.7511979774,-1.0523870943
SRX5694279,0.3356223517,-0.6149121879,-0.3908090648
SRX5694280,2.5000777418,0.5050103118,-0.6588512144
SRX5694281,0.19583000890000002,-0.36705523900000003,-0.796986874
SRX5694282,9.6040214757,2.3685057526,0.6215221205
SRX5694283,4.5204243655,0.5517114805000001,-0.7357496835
SRX5694284,1.3012973344,0.4551472003,-0.8809856715000001
SRX5694285,-3.1606800145,-0.2761207358,-0.332200824
SRX5694286,-2.1434373707,-0.46458306250000003,-0.7032624132
SRX5694287,6.843689716,-0.0183899255,0.5471721956
SRX5694288,0.6446992537,-0.1832542973,-0.6750352942000001
SRX5694289,-0.7773941275,0.2002400667,-0.7443126348
SRX5694290,2.29476876,-0.09534342380000001,-0.46151863260000003
SRX5694291,2.7666530809000003,0.007873737700000001,-0.6557503914
SRX5694292,-0.5744102929,-0.2218401267,-0.6482476939
SRX5694293,1.2314823003,-0.2095874287,-0.4793409832
SRX5694294,-0.0187759381,0.1148847848,-0.5675396422
SRX5694295,5.166622007,1.9859195324,-0.034679769900000004
SRX5694296,-0.3654737162,0.2228724178,-0.3525345714
SRX5694297,3.6489107365,1.5856757704,-0.0338108436
SRX5694298,-2.4755457999,-0.5106157994,-0.4064062229
SRX5694299,-1.3297121716,-0.5240711665000001,-0.40150323260000004
SRX5694300,0.9646578666000001,-0.34042273630000003,-0.4034077274
SRX5694301,-1.0714906263,-0.3251316294,-0.7157018740000001
SRX5694302,0.2200003703,-0.19328837340000002,-0.7166546285000001
SRX5694303,-1.2901720802,-0.5013159502,-0.5501377366
