,fruB
Cr_1,0.017525449940301512
Cr_2,0.03383620122275932
Cr_3,0.04974197879849939
Cr_4,0.05808792604399291
Cr_5,0.06465727418953471
Cr_6,0.079575945601354
Fe_1,-0.011020735662345418
Fe_2,-0.04233736661892692
Fe_3,-0.058369387593394474
Fe_4,-0.05597836064194149
Fe_5,-0.04022352962370431
Fe_6,-0.019355834393738548
Cd_1,-0.009611282404421516
Cd_2,-0.018676469020681992
Cd_3,-0.020910970535663532
Cd_4,-0.025455401694597996
Cd_5,-0.031424857151165955
Cd_6,-0.029543197894332924
Zn_1,-0.005067692519348774
Zn_2,-0.003066955045310521
Zn_3,0.0019207671337017817
Zn_4,0.006178584953295067
Zn_5,0.005080737201548229
Zn_6,0.009063210415077455
Cu_1,0.002282001827327679
Cu_2,-0.005844034053230921
Cu_3,-0.018861346393540833
Cu_4,-0.020132291334055728
Cu_5,-0.03047087265469145
Cu_6,-0.02001967386038294
Pb_1,-0.008469690170573054
Pb_2,-0.010743736027873709
Pb_3,-0.01821859751114521
Pb_4,-0.031064267505776143
Pb_5,-0.03816675075165013
Pb_6,-0.039728769801108586
