,A,FucR,AraC,AllR
R2,,0.33691402252743696,0.2536431305771599,0.07000923896205713
xmin,,-5.443662037,-5.3104487165,-7.761520619000001
xmid,,1.7536819082610204,-0.23472577111260085,-0.14627721086766066
xmax,,4.559281552999999,3.1511208795000005,2.7793611510000003
ystart,,1.0692700877026535,0.2687394251238071,0.9993007953283852
yend,,25.6210017966715,6.302899756463464,5.422599553249497
control__wt_glc__1,-0.1010906680863664,0.1358510329999998,-0.08098608650000028,-0.0990498320000004
control__wt_glc__2,0.1010906680863643,-0.1358510329999998,0.08098608649999939,0.0990498319999995
fur__wt_dpd__1,2.2619433203850416,-0.35338198799999976,0.3471359755000005,0.051158739999999085
fur__wt_dpd__2,1.9301459025495769,-0.3527059900000005,0.2563596995000017,0.035525750999999765
fur__wt_fe__1,-0.1639814215954118,-0.3772800270000003,-0.2939784484999999,-0.2938782450000019
fur__wt_fe__2,-0.2394246520299035,-0.13763255900000004,-0.2499395654999992,-0.3316366420000003
fur__delfur_dpd__1,1.2655750775871455,-0.3701222050000004,0.4790131825000001,0.032878878
fur__delfur_dpd__2,1.821453873195446,-0.5725147980000003,0.2768450285000004,-0.014576396000000713
fur__delfur_fe2__1,0.7945079625694604,0.2196571839999999,0.2549674695000004,-0.17660915100000096
fur__delfur_fe2__2,0.6345630131716793,0.11272718199999955,0.3837654735000005,-0.10088203699999987
acid__wt_ph5__1,-0.042767853245596,-0.09779157200000023,0.20026382350000027,-0.17153404800000072
acid__wt_ph5__2,-0.0065077069687223,-0.019828710999999718,-0.03185028349999985,-0.17085223300000066
acid__delgadx_ph5__2,-0.6778092097677881,-0.07852606800000039,0.1205811274999986,-0.3035712070000009
acid__delgadw_ph5__1,0.0068129497447249,-0.12723380599999956,0.23029688849999985,-0.2371615120000001
acid__delgadw_ph5__2,0.0018761209795321,-0.0031855739999997468,0.2844644664999993,-0.33671022600000106
acid__delgade_ph5__1,0.168819213410927,-0.02109143999999929,0.4493160305000004,-0.10804333300000037
acid__delgade_ph5__2,-0.2350623186888367,-0.02071963399999976,0.3284192125000001,-0.14685175500000192
oxidative__wt_pq__1,-0.0506935499088192,-0.10804932800000078,0.09386099050000052,-0.3655961760000013
oxidative__wt_pq__2,-0.1870602655562201,-0.14521351300000074,0.1996953364999996,-0.4657335519999997
oxidative__deloxyr_pq__1,0.5779303287562021,0.4862691049999999,0.2052859665,0.1537150829999998
oxidative__deloxyr_pq__2,0.5504176414309814,0.4252084390000013,0.2115571445000004,0.007440332999999022
oxidative__delsoxr_pq__1,-0.4061228016835886,0.10917097100000016,-0.3108886204999992,-0.4726581650000021
oxidative__delsoxr_pq__2,-0.5481955325941484,0.12447121800000005,-0.19972788649999984,-0.2990284960000009
oxidative__delsoxs_pq__1,1.219961393917653,-0.04608394899999979,0.13137937950000025,-0.17651612300000075
oxidative__delsoxs_pq__2,1.38284862445253,0.00108035399999995,-0.03504245650000026,-0.32123449699999984
nac_ntrc__wt_csn__1,1.5893404532782172,0.1620133629999998,0.6142849175,-0.4063714760000012
nac_ntrc__wt_csn__2,1.1059627704813024,-0.02612180399999975,0.5558765685000004,-0.4340207510000012
nac_ntrc__wt_cytd__1,0.7935175376559168,-0.11682599700000028,0.1498966914999995,-0.9896189780000002
nac_ntrc__wt_cytd__2,0.9575674271661332,-0.060783772999999826,0.008399984500000457,-0.9440966640000008
nac_ntrc__wt_gln__1,1.51537103266954,0.21447591200000016,0.24954773350000006,-1.0946604250000007
nac_ntrc__wt_gln__2,1.0799805416099542,0.14100775199999924,0.1958351295000007,-1.0084827300000008
