,ygjH
Cr_1,0.005436270232049848
Cr_2,0.006012711251517486
Cr_3,0.022718264197555644
Cr_4,0.03813272658457367
Cr_5,0.04516427981150983
Cr_6,0.05749317085799239
Fe_1,-0.018153754472207285
Fe_2,-0.02004125198281417
Fe_3,-0.021454392438225958
Fe_4,-0.04020509054724752
Fe_5,-0.0784995436121695
Fe_6,-0.11267132169283778
Cd_1,-0.011635284522916772
Cd_2,-0.008260701816794525
Cd_3,-0.006145765820195641
Cd_4,0.0014956295176206651
Cd_5,0.021918007957163862
Cd_6,0.05132592106990015
Zn_1,-0.008671234843237952
Zn_2,-0.024674176735055103
Zn_3,-0.04149283444775311
Zn_4,-0.03951683902028549
Zn_5,-0.04602360361333705
Zn_6,0.017628519138996008
Cu_1,0.013142536067414787
Cu_2,0.024304262120367046
Cu_3,0.03177938797033493
Cu_4,0.03072221333309285
Cu_5,0.026952339102778063
Cu_6,0.021787058460277696
Pb_1,0.004038027584468091
Pb_2,0.012019779800885885
Pb_3,0.018064466428477217
Pb_4,0.024099236799997804
Pb_5,0.020654811867915696
Pb_6,0.029053524437927133
