,groE
Cr_1,0.003504483388754357
Cr_2,0.003154617216551968
Cr_3,0.0184801751729048
Cr_4,0.03343058431734077
Cr_5,0.032190705268634906
Cr_6,0.039413583054194484
Fe_1,0.037018720753126906
Fe_2,0.08835550253768754
Fe_3,0.16659015956724066
Fe_4,0.2444209121652303
Fe_5,0.3244720826022611
Fe_6,0.39646479176336585
Cd_1,-0.002261007668710091
Cd_2,0.0008208321388167849
Cd_3,0.01260806752730483
Cd_4,0.02861770645473392
Cd_5,0.039048611907945376
Cd_6,0.05254167580060868
Zn_1,-0.010555582500751576
Zn_2,-0.017708645762601
Zn_3,-0.016164668702434017
Zn_4,-0.011077424086047104
Zn_5,-0.008547789148088231
Zn_6,-0.014894226038155418
Cu_1,-0.0008845290718429174
Cu_2,-0.0008070355555120703
Cu_3,-0.0016894609192673984
Cu_4,-0.0013749553177476728
Cu_5,-0.001284668477195465
Cu_6,-0.0014304310173905044
Pb_1,0.0011891627372546385
Pb_2,0.0044171414071488176
Pb_3,0.011391159610924
Pb_4,0.02460566034861913
Pb_5,0.03652304140026117
Pb_6,0.040679093074541976
