,A,GcvA,PurR,Crp,Fnr,Lrp
R2,,0.12125373674569018,0.020399460632049338,0.013702219317188624,0.010287290213371714,0.003629309003704395
xmin,,-5.5646070625,-8.216346238,-9.852476477,-9.786193262000001,-3.3317966780000012
xmid,,-0.9008140988578601,-0.6696474100803558,-1.260085826153076,,-1.5933133930464594
xmax,,1.773496295499999,0.33396364600000084,1.6003325529999994,2.044364117999999,0.9569347599999992
ystart,,0.6662119495463954,-2.216720492220385,-3.0310095306855827,-0.2599132462058089,-1.4821032310126985
yend,,-5.271729147750142,-0.14255889192344517,-0.9439845158420312,-2.4640721353539057,-2.378681157558734
control__wt_glc__1,0.1956702110993254,-0.06466377549999969,-0.0016611449999999195,0.012478645999999928,-0.0526320000000009,-0.011641710000001028
control__wt_glc__2,-0.1956702110993078,0.0646637754999988,0.0016611449999999195,-0.012478645999999928,0.05263199999999912,0.01164170999999925
fur__wt_dpd__1,-4.819670454061384,0.006331886499999051,-0.6151039760000003,0.07757413100000042,-0.2233275490000004,-0.6940244830000015
fur__wt_dpd__2,-4.950887837463852,-0.1038594495000007,-0.8196669910000001,-0.0906821709999992,-0.20726320800000053,-1.072648193000001
fur__wt_fe__1,0.5106758054641172,-0.11549264450000064,-0.4046822859999999,-0.030513672999999738,-0.559124369000001,-0.29271737000000186
fur__wt_fe__2,0.5141612145886679,-0.08591940149999999,-0.4929092409999996,0.0581907200000007,-0.5180337210000019,-0.3638154000000018
fur__delfur_dpd__1,-2.609567354442788,-0.19546953950000126,-0.57490226,-0.10598198399999957,-0.35869387400000186,-0.3755461500000017
fur__delfur_dpd__2,-2.2705723614392403,-0.2249829415000004,-0.5644634239999995,-0.22346684100000047,-0.3499676950000019,-0.42726524000000055
fur__delfur_fe2__1,-0.2403901623455365,0.00840405749999995,-0.4231934069999994,0.4364299129999996,-0.2728296990000008,-0.4071929400000016
fur__delfur_fe2__2,-0.4688522388301421,0.047727308499999836,-0.4981300469999983,0.36756339300000107,-0.2654058500000005,-0.3888872200000009
acid__wt_ph5__1,-0.6743891786903272,0.18277044950000046,-0.3715409310000002,0.3455225730000002,-0.5248469310000008,-0.09708397000000167
acid__wt_ph5__2,-0.7563826618332921,0.08418713049999926,-0.4744451719999994,0.34313646300000045,-0.5394919760000008,-0.09599975000000073
acid__delgadx_ph5__2,-0.0067454246914394,0.0011303284999995,-0.5677022889999996,0.3393877130000007,-0.4808098230000013,-0.2525905400000017
acid__delgadw_ph5__1,-0.1637993974082388,-0.2220681115000005,-0.5727839039999996,0.3838637929999997,-0.5694477410000012,-0.20636768000000136
acid__delgadw_ph5__2,-0.876324798192251,0.12150673649999975,-0.6632380199999997,0.3398617829999999,-0.5457824470000006,-0.13596409000000165
acid__delgade_ph5__1,-0.2079815578603644,0.37679035549999895,-0.4367671360000003,0.432408723,-0.4965959550000018,-0.03282263000000185
acid__delgade_ph5__2,-0.1808361934385384,0.2622354214999998,-0.4801847099999996,0.4824361929999999,-0.5235996460000011,-0.08436744000000118
oxidative__wt_pq__1,-4.667301467501906,-0.6802592125000002,-1.4069466989999997,0.17662370300000066,-0.27798360400000105,-0.3174906800000006
oxidative__wt_pq__2,-5.1660400979275005,-0.614907638500001,-1.3920632619999995,0.24038529300000103,-0.40360473400000174,-0.2652203200000009
oxidative__deloxyr_pq__1,-6.13325172116779,-0.40997279850000107,-1.0691250089999995,0.5131550130000004,-0.11731480800000148,-0.09725503000000124
oxidative__deloxyr_pq__2,-6.0781094116033945,-0.5148146665000004,-0.9944603439999992,0.5363373029999998,-0.05299572400000052,-0.14415623000000188
oxidative__delsoxr_pq__1,-3.773208849505278,-0.9748724945000004,-1.1476433619999993,0.3346725330000009,-0.4695711340000006,-0.4801003560000012
oxidative__delsoxr_pq__2,-4.208224653066123,-0.6293858945000004,-1.0554763849999995,0.3870598730000001,-0.4755742960000013,-0.4378053500000014
oxidative__delsoxs_pq__1,-4.689207213693704,-0.9307891175000008,-1.8156531379999992,0.5134629630000003,-0.1387633190000006,-0.3665641600000011
oxidative__delsoxs_pq__2,-4.655893308113826,-0.5405997525000004,-1.8466938189999995,0.5104807529999995,-0.1421156520000011,-0.2735768400000005
nac_ntrc__wt_csn__1,-2.067387739612548,0.18982082449999996,-0.4049359129999992,-0.0727968299999997,-0.1587119630000018,0.2274395999999985
nac_ntrc__wt_csn__2,-2.023748392274906,0.07624004949999996,-0.3706067479999984,-0.09324395099999984,-0.2040164890000007,0.3078409099999995
nac_ntrc__wt_cytd__1,-1.624181980186155,-0.022879627500000055,-0.31211380799999944,-0.043119613,-0.2233020650000004,0.12546446999999894
nac_ntrc__wt_cytd__2,-1.7773950399534026,-0.06895606550000011,-0.35052336899999936,-0.07348926000000056,-0.14878209200000114,0.14888169999999867
nac_ntrc__wt_gln__1,-1.6760740971386243,0.07812247750000001,-0.4722343079999991,0.16383650300000066,-0.1339289860000008,0.06384898999999855
nac_ntrc__wt_gln__2,-1.913437764723824,0.030231582499999913,-0.509762434999999,0.11651884599999995,-0.07252378100000101,0.03403800999999973
nac_ntrc__bw_delnac_csn__1,-2.502841450122105,0.4541630594999999,-0.6205402560000001,0.16921202300000004,-0.17298681200000132,-0.26887009000000184
nac_ntrc__bw_delnac_csn__2,-2.1806095820388687,0.020038450499999527,-0.336077113,0.03216219000000109,-0.2073357070000004,-0.4971630210000004
nac_ntrc__bw_delnac_cytd__1,-1.6063822858992889,0.4797861924999998,-0.184986404,0.2936758630000007,-0.3990849310000009,0.3625208999999981
nac_ntrc__bw_delnac_cytd__2,-1.854875469199167,0.2238135554999996,-0.30857093600000063,0.2286386530000009,-0.4580705310000006,0.31627000999999844
nac_ntrc__bw_delnac_gln__1,-1.640632103416627,0.5241362564999994,-0.4535738669999994,0.5051051429999998,-0.3877521210000019,0.20808447999999835
nac_ntrc__bw_delnac_gln__2,-2.177318593720868,0.6699842464999994,-0.4784706209999996,0.563775123000001,-0.3182893920000005,0.1513593999999987
nac_ntrc__bw_delnac_nh4__1,-0.2142121714360949,0.0655284414999997,0.08766008399999947,0.3391651030000009,-0.4074629840000004,0.2307366199999983
nac_ntrc__bw_delnac_nh4__2,0.3437112005640367,0.047090514499999785,0.050032210000001236,0.3602350630000011,-0.4319254960000016,0.13001686999999862
misc__wt_no_te__1,-2.579230156304046,0.1279063554999995,-0.5700678979999996,0.3221691629999999,-0.5747228530000008,-0.3009276000000014
misc__wt_no_te__2,-0.9432904476730476,0.0725146944999997,-0.3622095489999992,0.3159875930000009,-0.4345764080000016,-0.1921471100000005
misc__bw_delcbl__1,0.5842680048147395,-0.19992877250000074,-0.3250749769999981,0.30577407300000026,-0.5447975610000011,-0.3094116300000014
misc__bw_delcbl__2,0.3976226271299714,-0.20218882750000056,-0.3157871599999993,0.3225694130000001,-0.5101214760000019,-0.2649644800000015
misc__bw_delfabr__1,1.0169404582513537,-0.3429435375000001,-0.33523313100000074,0.1944652930000004,-0.5468835700000003,-0.2603695600000009
misc__bw_delfabr__2,0.956411221305818,-0.19200222450000126,-0.2944725219999995,0.13385438500000113,-0.5969020620000016,-0.2737464100000011
misc__bw_delfadr__1,-0.8800642867594141,-0.24888904550000035,-0.27277315999999985,0.325118883,-0.6318394690000009,-0.3501175000000014
misc__bw_delfadr__2,-0.6905761164784393,-0.2448048355000001,-0.28731209000000035,0.3434663330000003,-0.5991148660000007,-0.23017134000000186
misc__nitr_031__1,-1.1559762792292576,0.18553682950000014,-0.459089624999999,0.2155988630000003,-0.4462157430000016,-0.18571492000000056
omics__wt_glu__1,0.3749427780114653,0.6665107225,-0.44669562699999865,0.3481259330000004,0.6836297179999988,-0.6196653030000014
omics__wt_glu__2,0.93081202114136,0.40478831049999897,-0.3879707249999989,0.31989882300000083,0.7885854679999991,-0.4167845500000009
omics__wt_gly__1,6.591612233292838,0.3970237214999992,-0.1574573560000001,0.3121818130000005,0.206760040999999,-0.4620122400000018
omics__wt_gly__2,6.697252686398564,0.5253776764999998,-0.18432396399999892,0.3489800729999999,0.1833143229999994,-0.4594035800000018
omics__wt_thr__1,1.1113106142908733,0.4804889435000002,-1.5216717039999992,0.8835606830000007,-0.542585261000001,-0.8237873590000007
omics__wt_thr__2,1.4633953781958655,0.4687181185,-1.6754905739999997,1.127551423,-0.6071561150000004,-0.6692287650000015
omics__bw_ac__1,-0.9846309005381308,0.2712775814999997,-0.2677860989999985,0.4643589929999994,0.045715160999998616,-0.31974963000000045
omics__bw_ac__2,-0.8658882311537518,0.09827258450000008,-0.2293750269999997,0.4618822229999999,0.09762738399999904,-0.27927106000000107
omics__bw_fum__1,0.3736916693177884,0.09374735749999984,0.0863086759999998,0.446647853,-0.1884815580000012,-0.4922631980000016
omics__bw_fum__2,1.0496537583251715,-0.049766492500000765,0.02670645200000088,0.4952586530000005,-0.2422709619999992,-0.40191275000000093
omics__bw_glc__1,-0.3667029025918271,0.5069315684999998,0.03654716800000024,0.31995135300000044,-0.2345112470000004,0.06089708999999921
omics__bw_glc__2,-0.2929055884211833,0.3032141184999997,-0.0039326559999999225,0.3609335930000004,-0.2088260980000012,0.047743039999998516
omics__bw_pyr__1,-1.071309448572665,0.2544111585,-0.006839705999999168,0.8061810030000007,0.08724294099999952,-0.2498423800000005
omics__bw_pyr__2,-1.236204004181384,0.3162590485000001,0.11090925999999968,0.7644674929999997,0.02212409499999879,-0.1860641600000008
