,ydhB
Cr_1,-0.00028769925187605933
Cr_2,-0.008411543627980597
Cr_3,-0.000938466541467672
Cr_4,-0.009754994296563893
Cr_5,-0.001047721196644371
Cr_6,0.0010943935115110518
Fe_1,-0.01825002289559245
Fe_2,-0.05476002151578711
Fe_3,-0.06877035512083422
Fe_4,-0.08362458289464278
Fe_5,-0.06437391143177366
Fe_6,-0.08859995952128377
Cd_1,-0.036194199029331714
Cd_2,-0.06703828474593565
Cd_3,-0.07165990424679466
Cd_4,-0.06548408017852934
Cd_5,-0.07381240997290607
Cd_6,-0.12352063414210185
Zn_1,-0.025861190001080583
Zn_2,-0.011397514596641407
Zn_3,0.003678791328259437
Zn_4,-0.004386300849550121
Zn_5,0.026478706909896184
Zn_6,0.05869976655981005
Cu_1,0.9355645726022868
Cu_2,0.22999638823239496
Cu_3,0.26641030731762594
Cu_4,0.3086980269188793
Cu_5,0.17356390784419326
Cu_6,0.2222084795596708
Pb_1,0.0233228360793438
Pb_2,0.05820272590770361
Pb_3,0.08591902241267045
Pb_4,0.12124461964709365
Pb_5,0.12402118371581765
Pb_6,0.13371487922154118
