,cutA
Cr_1,0.0039063940333736655
Cr_2,0.007691250959216939
Cr_3,0.01228884003240268
Cr_4,0.016230472884767026
Cr_5,0.016283084083662157
Cr_6,0.016464843959285554
Fe_1,-0.002819583040174511
Fe_2,-0.015383122185557443
Fe_3,-0.023955440625975627
Fe_4,-0.03713719023092432
Fe_5,-0.05123725494167436
Fe_6,-0.06613086594855606
Cd_1,-0.00022298840578161225
Cd_2,-0.0003089837308571537
Cd_3,0.00094569234300436
Cd_4,0.003329425563334208
Cd_5,0.0014560343189678644
Cd_6,0.006043571693205656
Zn_1,0.0070607326396193
Zn_2,0.014521352244261437
Zn_3,0.023424023782692642
Zn_4,0.03609926726752565
Zn_5,0.047501353412432765
Zn_6,0.05836166991195231
Cu_1,0.0024657110058782248
Cu_2,0.005962462082828347
Cu_3,0.011287276301753696
Cu_4,0.012813613003889423
Cu_5,0.01794713878182396
Cu_6,0.029292617230736145
Pb_1,0.008001081172021748
Pb_2,0.01114926693575378
Pb_3,0.01635710159411082
Pb_4,0.02077572850418708
Pb_5,0.019511383229447857
Pb_6,0.016992557551581747
