,prfB
Cr_1,-0.0007233522639670431
Cr_2,0.0018665221298541413
Cr_3,0.007051456154916732
Cr_4,0.011323283165225887
Cr_5,0.014242458505828538
Cr_6,0.014568993884688313
Fe_1,-0.006047658829774522
Fe_2,-0.015356485922916312
Fe_3,-0.02479175717216898
Fe_4,-0.03747869759267364
Fe_5,-0.044139971865941416
Fe_6,-0.04595762615612199
Cd_1,-0.0032163993233069693
Cd_2,-0.005128893588028501
Cd_3,-0.00856239330573901
Cd_4,-0.011798894131692472
Cd_5,-0.01572264636253699
Cd_6,-0.00840537874476545
Zn_1,-0.0030327844847937275
Zn_2,-0.006771623646996257
Zn_3,-0.011785397533149104
Zn_4,-0.011798812760952656
Zn_5,-0.008578182762295598
Zn_6,-0.0036470565101146273
Cu_1,0.0029910645254100487
Cu_2,0.006586688215318832
Cu_3,0.009815638071589049
Cu_4,0.01391367678820835
Cu_5,0.018142681262294725
Cu_6,0.025202576071362868
Pb_1,0.003015348588272043
Pb_2,0.006553675412716597
Pb_3,0.014833413741652212
Pb_4,0.02570446692877213
Pb_5,0.034734424135363234
Pb_6,0.043187901383712715
