,metR
Cr_1,0.0082784205137661
Cr_2,0.0164288281526362
Cr_3,0.019845163946029015
Cr_4,0.021908643969263425
Cr_5,0.03028996810559109
Cr_6,0.03344104652498521
Fe_1,0.004940941492466346
Fe_2,-0.0068377667879115245
Fe_3,-0.020090718800406228
Fe_4,-0.0378204800543864
Fe_5,-0.043423203929412235
Fe_6,-0.04634059669241414
Cd_1,0.012792453985150387
Cd_2,0.004461009949164739
Cd_3,0.0071615532827526565
Cd_4,0.013802695324748692
Cd_5,0.010866247129942521
Cd_6,0.01141887745826457
Zn_1,0.008783470940383759
Zn_2,0.022360969302883484
Zn_3,0.0512354187611813
Zn_4,0.0937202799396335
Zn_5,0.1436880484607043
Zn_6,0.19468439541698054
Cu_1,0.013748913249285444
Cu_2,0.0204693711264774
Cu_3,0.027887692460121127
Cu_4,0.03543225121060815
Cu_5,0.04352312967429912
Cu_6,0.052651728908755684
Pb_1,0.008691017233468483
Pb_2,0.014261661934381597
Pb_3,0.006785904624543196
Pb_4,0.00283018367107632
Pb_5,-0.002163305347648403
Pb_6,-0.010978441934322177
