,A,Fur
R2,,0.12725369621610116
xmin,,-4.1296011189
xmid,,1.0976695247992545
xmax,,2.114666155
ystart,,-1.4298721977728963
yend,,-15.621634077421009
AB0057_PGcoculture__PGAB__1.0,-7.1120025673,0.1493863373
AB0057_PGcoculture__PGAB__2.0,-8.0816967086,0.2672223988
AB0057_PGcoculture__PGAB__3.0,-6.6832726889,-0.3615375334
AB0057_PGcoculture__AB __1.0,0.3308372452,0.10799949830000001
AB0057_PGcoculture__AB __2.0,0.0023855474,0.029135948300000002
AB0057_PGcoculture__AB __3.0,0.2511625775,-0.0409914425
AB0057_PGcoculture__AB __4.0,-0.5843853701,-0.0961440041
AB0057_PGcoculture__ABPG__1.0,-6.5826886418,-0.26962986510000003
AB0057_PGcoculture__ABPG__2.0,-7.0356194092,-0.32173817180000003
AB0057_PGcoculture__ABPG__3.0,-1.8381054855999999,0.120033968
AB0057_PGcoculture__ABPG__4.0,-6.2167714364,-0.09527381500000001
AB5075_AZI__AZI_000__1.0,-0.5681614678,-0.22105605450000002
AB5075_AZI__preculture__1.0,4.062244018,0.8442862252000001
AB5075_AZI__preculture__2.0,2.6767167537,0.6905492457
AB5075_AZI__AZI_040__1.0,-9.5716200784,1.3302955536
AB5075_AZI__AZI_028__1.0,-0.4472788407,0.8483782193
AB5075_AZI__AZI_003__1.0,-1.6741014555,0.1948908702
AB5075_AZI__AZI_000__2.0,0.5681614678,0.22105605450000002
AB5075_AZI__AZI_040__2.0,-9.8316647059,1.3373829858000001
AB5075_AZI__AZI_028__2.0,0.1262318667,1.0444045416
AB5075_AZI__AZI_003__2.0,-1.5647538808,0.1346860008
AB5075_VIR-O_AV-T__AV-T/vector__1.0,-1.6581068110000001,0.1088450911
AB5075_VIR-O_AV-T__VIR-O/vector__1.0,0.7593803181000001,0.16571316020000001
AB5075_VIR-O_AV-T__VIR-O/vector__2.0,-1.2092955612,-0.20698836510000002
AB5075_VIR-O_AV-T__VIR-O/vector__3.0,0.44991524310000003,0.0412752049
AB5075_VIR-O_AV-T__VIR-O/1645__1.0,0.33572819070000004,0.13194083780000002
AB5075_VIR-O_AV-T__VIR-O/1645__2.0,-2.0941553031,0.1751158314
AB5075_VIR-O_AV-T__VIR-O/1645__3.0,2.0545154865,0.3644452261
AB5075_VIR-O_AV-T__AV-T/vector__2.0,3.2824418826,-0.1221184964
AB5075_VIR-O_AV-T__AV-T/vector__3.0,-3.3060335497,0.2067956474
AB5075_VIR-O_LSO__VIR-O__1.0,-1.3718887158,0.2748114739
AB5075_VIR-O_LSO__LSO__1.0,-1.6308945474,0.3202128729
AB5075_VIR-O_LSO__VIR-O__2.0,1.2702861408000001,-0.2387583795
AB5075_VIR-O_LSO__LSO__2.0,-3.9826860684,0.6280121781
AB5075_VIR-O_LSO__VIR-O__3.0,0.101602575,-0.0360530944
