,ycdC
Cr_1,-0.019202175567028204
Cr_2,-0.02359900248702414
Cr_3,-0.02312013059650617
Cr_4,-0.0227654958190026
Cr_5,-0.020212683479926937
Cr_6,-0.013534932967599488
Fe_1,-0.01836186261850373
Fe_2,-0.03600563838139797
Fe_3,-0.06481946963410762
Fe_4,-0.05776689557541941
Fe_5,-0.04559133221046063
Fe_6,-0.05438856192315002
Cd_1,0.0032687659856113845
Cd_2,0.011291005501770477
Cd_3,0.018887615312629176
Cd_4,0.03074373503482402
Cd_5,0.034553410822940965
Cd_6,0.03988417575225597
Zn_1,-0.06410147672189576
Zn_2,-0.07492682674456498
Zn_3,-0.07770478637724725
Zn_4,-0.06888566286829204
Zn_5,-0.05280455170410205
Zn_6,-0.04345367284794872
Cu_1,-0.006026932985247406
Cu_2,0.002584104757057427
Cu_3,0.022602054149035586
Cu_4,0.03850997608200623
Cu_5,0.05399491731068516
Cu_6,0.0775531901796648
Pb_1,0.00864546851087535
Pb_2,0.02312016108216427
Pb_3,0.03931643110079575
Pb_4,0.05279881285096962
Pb_5,0.061530125850319424
Pb_6,0.09224156563258876
